,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
Term 11,account 0.0168,test 0.0166,sheet 0.0099,rest 0.0175,record 0.0188,show 0.0126,azur 0.0168,admin 0.0144,work 0.0132,client 0.0128,link 0.013,open 0.014,fail 0.0124,option 0.0194,im 0.0136
Term 12,insert 0.016,event 0.0163,export 0.0097,post 0.0169,client 0.0178,column 0.0122,server 0.0158,permiss 0.0142,chart 0.0119,mobil 0.0127,display 0.0121,event 0.0135,configur 0.0123,display 0.0167,form 0.0132
Term 13,tabl 0.0144,lwc 0.0161,task 0.009,work 0.0163,display 0.0172,month 0.0114,microsoft 0.0158,role 0.0136,chang 0.0114,product 0.0126,javascript 0.0118,entri 0.0127,im 0.0114,data 0.0158,string 0.0132
Term 14,entiti 0.0143,js 0.0138,thing 0.009,url 0.0162,server 0.0155,return 0.0102,tabl 0.0146,log 0.0114,show 0.0112,deploy 0.0119,view 0.011,updat 0.0116,receiv 0.0114,valu 0.0141,valid 0.0131
Term 15,key 0.014,object 0.0118,run 0.0087,method 0.0128,item 0.015,report 0.0099,powerapp 0.0143,chatter 0.011,save 0.0109,connect 0.0118,emb 0.0107,action 0.0116,test 0.0111,field 0.0134,properti 0.0124
Term 16,type 0.0121,html 0.0113,version 0.0085,paramet 0.0125,row 0.0144,result 0.0095,instanc 0.0138,owner 0.0107,import 0.0101,api 0.0117,click 0.0106,page 0.0105,set 0.0109,collect 0.0115,data 0.0121
Term 17,delet 0.0121,properti 0.0109,solut 0.0085,xml 0.0112,select 0.0137,join 0.009,sourc 0.0132,share 0.0103,csv 0.0101,authent 0.0096,consol 0.0104,work 0.0104,domain 0.0109,tabl 0.0108,check 0.012
Term 18,parent 0.0102,map 0.0105,question 0.0084,pass 0.0099,bind 0.0129,line 0.0089,servic 0.0109,preview 0.01,color 0.0099,manag 0.0092,html 0.0096,field 0.0103,issu 0.0108,work 0.0104,requir 0.012
Term 19,list 0.0093,web 0.0104,app 0.0079,lead 0.0096,set 0.0125,work 0.0089,collect 0.0099,assign 0.0098,creat 0.0091,id 0.0088,browser 0.0096,mode 0.0095,problem 0.0101,drop 0.01,chang 0.012
Term 20,relationship 0.0093,javascript 0.0094,add 0.0074,php 0.0096,load 0.0124,error 0.0087,custom 0.0096,task 0.0096,pictur 0.0089,packag 0.0088,show 0.0095,chang 0.0094,account 0.0099,row 0.0094,display 0.0106
Term 21,data 0.0089,consol 0.0085,templat 0.0072,header 0.009,side 0.0121,add 0.0086,store 0.0092,case 0.0096,size 0.0082,org 0.0087,window 0.0091,function 0.0085,fine 0.0074,base 0.0087,number 0.0102
Term 22,exist 0.0088,trigger 0.0084,start 0.0072,creat 0.009,show 0.0116,type 0.0084,excel 0.0083,directori 0.0096,link 0.0078,suggest 0.0082,content 0.0091,make 0.0082,setup 0.0074,multipl 0.0086,work 0.01
Term 23,set 0.0082,array 0.0083,id 0.0071,document 0.0089,im 0.0107,condit 0.0082,environ 0.0075,email 0.0089,download 0.0078,instal 0.008,creat 0.0087,back 0.0079,notif 0.0073,lookup 0.0086,function 0.0094
Term 24,child 0.0082,undefin 0.0079,problem 0.0068,creator 0.0084,work 0.0102,creat 0.0077,add 0.0074,activ 0.0088,add 0.0078,java 0.008,commun 0.0085,popup 0.0078,script 0.0073,user 0.0082,checkbox 0.0093
Term 25,show 0.0077,tag 0.0077,edit 0.0065,send 0.0078,field 0.0102,year 0.0075,find 0.0071,specif 0.0087,find 0.0074,credenti 0.0076,vf 0.0079,activ 0.0074,smtp 0.0064,view 0.0081,user 0.009
Term 26,multipl 0.0077,dynam 0.0076,place 0.0061,custom 0.0075,calcul 0.0101,base 0.0074,ms 0.007,post 0.0087,problem 0.0066,custom 0.0076,ifram 0.0077,manual 0.0073,command 0.0063,set 0.0074,textbox 0.0087
Term 27,lookup 0.0074,attribut 0.0075,document 0.0061,http 0.0071,creat 0.0097,sql 0.0074,db 0.0064,check 0.0084,make 0.0066,build 0.0074,agent 0.0075,select 0.0071,check 0.0059,popul 0.0074,dynam 0.0086
Term 28,queri 0.0069,return 0.0074,issu 0.0061,make 0.0067,project 0.0089,order 0.0071,mysql 0.0063,system 0.0083,content 0.0065,oauth 0.0074,visualforc 0.0075,inform 0.007,start 0.0056,im 0.007,enter 0.0084
Term 29,lead 0.0068,render 0.0073,answer 0.0059,success 0.0066,event 0.0086,statement 0.007,common 0.0058,team 0.0079,convert 0.0064,account 0.0071,navig 0.0074,remov 0.0068,gmail 0.0055,powerapp 0.0067,suggest 0.0083
Term 30,uniqu 0.0065,display 0.0072,understand 0.0058,access 0.0063,dropdown 0.0085,student 0.0069,dynam 0.0054,current 0.0077,excel 0.0059,commun 0.0068,redirect 0.0071,locat 0.0066,ive 0.0052,search 0.0067,put 0.0074
