Id,PostTypeId,ParentId,CreationDate,Score,Body,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,CommentCount,ContentLicense
4599012,2,4598926,2011-01-04T22:13:01.987,4,"<p>You could do it server side with cURL in post.php.</p>

<p>So, you have your variables set and they've been validated and cleaned, then:</p>

<pre><code>$zoho = curl_init(""https://crm.zoho.com/crm/WebToLeadForm"");
curl_setopt($zoho, CURLOPT_SSL_VERIFYPEER, false); //Note, not very secure.  Would have to get certificate otherwise.  Look up how to.
curl_setopt($zoho, CURLOPT_FOLLOWLOCATION, 1); //Makes sure that it follows any redirects
curl_setopt($zoho, CURLOPT_RETURNTRANSFER, 1); //Returns the result instead of outputting it to the browser
curl_setopt($zoho, CURLOPT_USERAGENT, ""Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)""); //Will make the end server think it was submitted with Firefox, and not by a server using cURL.
curl_setopt($zoho, CURLOPT_POST, 1);
curl_setopt($zoho, CURLOPT_POSTFIELDS, $zohoprams);  
//If you want the rest of the $_POST data and not just what you set above in $zohoprams, 
//CURLOPT_POSTFIELDS takes either an array, which will automatically do the appropriate thing with it as a $key=$value, or a string like you have formatted for $zohoprams
curl_exec($zoho);
curl_close($zoho);

$max = curl_init('http://www.max360group.com/');
curl_setopt($max, CURLOPT_POST, 1);
curl_setopt($max, CURLOPT_POSTFIELDS, $maxprams);
curl_setopt($max, CURLOPT_FOLLOWLOCATION, 1);
curl_setopt($max, CURLOPT_RETURNTRANSFER, 1);
curl_setopt($max, CURLOPT_USERAGENT, ""Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)""); 
curl_exec($max);
curl_close($max);
</code></pre>

<p>Might need to be changed a bit to do exactly what you want, and probably would need to forge the headers like it's a browser doing it, but that is the basic functionality of it.  Might also need to set CURLOPT_RETURNTRANSFER to true.</p>
",546990,546990,2011-01-04T22:55:20.220,2011-01-04T22:55:20.220,3,CC BY-SA 2.5
7679766,2,7679733,2011-10-06T19:57:26.953,3,"<p>You actually can't do what you're suggesting.  When using an <code>&lt;input type=""file"" .../&gt;</code> the uploaded file is never loaded into the HTML.  Instead it's included as part of the POST request.  So what you want to actually do is craft a complete POST request, and submit that post to your action (http://zohoservice).</p>

<p>This is doable, but it's going to be a bit of work on your end, and you'll need to understand how to create a MIME multipart POST request.  And if there are any anti-botting technologies or view state tracking (kinds of things) then you'll run into some trouble there.</p>
",2045162,,,2011-10-06T19:57:26.953,1,CC BY-SA 3.0
8123492,2,8123314,2011-11-14T15:02:03.943,2,"<p>My guess would be change</p>

<p><code>curl_setopt($curl_connection, CURLOPT_POSTFIELDS, $post_string);</code></p>

<p>to </p>

<p><code>curl_setopt($curl_connection, CURLOPT_POSTFIELDS, $post_data);</code></p>

<p>Im guessing converting it into a string is making curl not upload the file with the magic @
<a href=""http://dtbaker.com.au/random-bits/uploading-a-file-using-curl-in-php.html"" rel=""nofollow"">http://dtbaker.com.au/random-bits/uploading-a-file-using-curl-in-php.html</a></p>
",982190,982190,2011-11-14T15:27:13.153,2011-11-14T15:27:13.153,2,CC BY-SA 3.0
9391270,2,9391137,2012-02-22T08:18:48.623,16,"<p>Servers cannot block cURL requests per se, but they can block any request that they do not like. If the server checks for some parameters that your cURL request does not satisfy, it could decide to respond differently.</p>

<p>In the vast majority of cases, this difference in behavior is triggered by the presence (or absence) and values of the HTTP request headers. For example, the server might check that the <code>User-Agent</code> header is present and has a valid value (it could also check lots of other things).</p>

<p>To find out what the HTTP request coming from the browser looks like, use an HTTP debugging proxy like <a href=""http://fiddler2.com/fiddler2/"" rel=""noreferrer"">Fiddler</a> or your browser's developer tools.</p>

<p>To add your own headers to your cURL request, use</p>

<pre><code>curl_setopt($ch, CURLOPT_HTTPHEADER, array('HeaderName: HeaderValue'));
</code></pre>
",50079,2057919,2018-03-26T17:07:19.920,2018-03-26T17:07:19.920,10,CC BY-SA 3.0
9594781,2,9588748,2012-03-07T01:59:51.903,1,"<p>Since you already know the id of the record, you don't need to read the record before modifying it.  You should be able to just remove your first line, create the %new_record without reading it from QB, then your 2nd and 3rd lines should work fine.
The alternative is to remove the built-in QB fields from %new_record before doing the EditRecord.</p>
",1253631,,,2012-03-07T01:59:51.903,1,CC BY-SA 3.0
9980586,2,9980294,2012-04-02T17:00:43.000,2,"<blockquote>
  <p>Any idea why Quickbase is saying the XML response is one encoding
  (UTF-8) but actually using another (CP1252)?</p>
</blockquote>

<p>Probably because a Quickbase developer copied-and-pasted the XML declaration without actually understanding what <code>encoding</code> means.</p>

<p>The easiest workaround is to use <code>xml_response = xml_response.decode('windows-1252').encode('UTF-8')</code> to get a <em>real</em> UTF-8 string to pass to the XML parser.</p>
",287586,,,2012-04-02T17:00:43.000,0,CC BY-SA 3.0
10250659,2,10247749,2012-04-20T17:17:14.417,1,"<p>When you export to CSV files, those files download from the browser onto your local machine, NOT the server. If you are running into issues with reports being too large, the filtering workaround above is a good enough.</p>

<p>The other possibility is to use the QuickBase API here:</p>

<p><a href=""http://www.quickbase.com/api-guide/index.html"" rel=""nofollow"">http://www.quickbase.com/api-guide/index.html</a></p>

<p>Specifically, API_DoQuery is what you want to use.</p>
",1347125,,,2012-04-20T17:17:14.417,0,CC BY-SA 3.0
10690347,2,10690115,2012-05-21T18:10:16.387,1,"<p>You will have to create a magento connector module to handle synchronization between Magento and ZOHO CRM API ( <a href=""http://zohocrmapi.wiki.zoho.com/"" rel=""nofollow"">http://zohocrmapi.wiki.zoho.com/</a> ).</p>

<p>It is not easy. But if you have some experience with Magento development and do not know how to start with it, i would suggest you to download some similiar module (e. g. <a href=""http://www.magentocommerce.com/magento-connect/integrations/crm/erply-connector.html"" rel=""nofollow"">http://www.magentocommerce.com/magento-connect/integrations/crm/erply-connector.html</a>) and see how it is built. Then try to develop your own.</p>
",911679,,,2012-05-21T18:10:16.387,0,CC BY-SA 3.0
10799868,2,10784169,2012-05-29T13:10:23.513,1,"<p>The answer is to use this API method</p>

<p><a href=""https://zohocrmapi.wiki.zoho.com/getFields.html"" rel=""nofollow"">https://zohocrmapi.wiki.zoho.com/getFields.html</a></p>

<p><strong>Purpose</strong></p>

<p>You can use the getFields method to fetch details of the fields available in a particular module. </p>

<p><strong>Request URL</strong></p>

<p>XML: <a href=""https://crm.zoho.com/crm/private/xml/Tasks/getFields?authtoken=AuthToken&amp;scope=crmapi"" rel=""nofollow"">https://crm.zoho.com/crm/private/xml/Tasks/getFields?authtoken=AuthToken&amp;scope=crmapi</a></p>

<p>JSON: <a href=""https://crm.zoho.com/crm/private/json/Tasks/getFields?authtoken=AuthToken&amp;scope=crmapi"" rel=""nofollow"">https://crm.zoho.com/crm/private/json/Tasks/getFields?authtoken=AuthToken&amp;scope=crmapi</a></p>

<p><strong>Sample Response</strong> </p>

<pre><code>&lt;Leads&gt;
&lt;section name=""Lead Information"" dv=""Lead Information""&gt;
&lt;FL req=""false"" type=""Lookup"" isreadonly=""false"" maxlength=""120"" label=""Lead Owner"" dv=""Lead Owner"" customfield=""false"" /&gt;
&lt;FL req=""true"" type=""Text"" isreadonly=""false"" maxlength=""100"" label=""Company"" dv=""Company"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""40"" label=""First Name"" dv=""First Name"" customfield=""false"" /&gt;
&lt;FL req=""true"" type=""Text"" isreadonly=""false"" maxlength=""80"" label=""Last Name"" dv=""Last Name"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""100"" label=""Designation"" dv=""Title"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Email"" isreadonly=""false"" maxlength=""100"" label=""Email"" dv=""Email"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Phone"" isreadonly=""false"" maxlength=""30"" label=""Phone"" dv=""Phone"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""30"" label=""Fax"" dv=""Fax"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Phone"" isreadonly=""false"" maxlength=""30"" label=""Mobile"" dv=""Mobile"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Website"" isreadonly=""false"" maxlength=""120"" label=""Website"" dv=""Website"" customfield=""false"" /&gt;
...
&lt;section name=""Address Information"" dv=""Address Information""&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""250"" label=""Street"" dv=""Street"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""30"" label=""City"" dv=""City"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""30"" label=""State"" dv=""State"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""30"" label=""Zip Code"" dv=""Zip Code"" customfield=""false"" /&gt;
&lt;FL req=""false"" type=""Text"" isreadonly=""false"" maxlength=""30"" label=""Country"" dv=""Country"" customfield=""false"" /&gt;
&lt;/section&gt;
&lt;section name=""Description Information"" dv=""Description Information""&gt;
&lt;FL req=""false"" type=""TextArea"" isreadonly=""false"" maxlength=""32000"" label=""Description"" dv=""Description"" customfield=""false"" /&gt;
&lt;/section&gt;
&lt;/Leads&gt;
</code></pre>

<p>and element <strong>FL[@label='Lead Source']</strong> is the result i was looking for:</p>

<pre><code>&lt;FL req=""false"" type=""Pick List"" isreadonly=""false"" maxlength=""120"" label=""Lead Source"" dv=""Lead Source"" customfield=""false""&gt;
&lt;val&gt;-None-&lt;/val&gt;
&lt;val default=""true""&gt;Advertisement&lt;/val&gt;
&lt;val&gt;Cold Call&lt;/val&gt;
&lt;val&gt;Employee Referral&lt;/val&gt;
&lt;val&gt;External Referral&lt;/val&gt;
&lt;val&gt;OnlineStore&lt;/val&gt;
&lt;val&gt;Partner&lt;/val&gt;
&lt;val&gt;Public Relations&lt;/val&gt;
&lt;val&gt;Sales Mail Alias&lt;/val&gt;
&lt;val&gt;Seminar Partner&lt;/val&gt;
&lt;val&gt;Seminar-Internal&lt;/val&gt;
&lt;val&gt;Trade Show&lt;/val&gt;
&lt;val&gt;Web Download&lt;/val&gt;
&lt;val&gt;Web Research&lt;/val&gt;
&lt;val&gt;4444&lt;/val&gt;
&lt;/FL&gt;
</code></pre>

<p><strong>The issue was that i tested this method on object, that has no PickupList field, and i decided that it returns only definition, but not available values.</strong></p>
",827293,,,2012-05-29T13:10:23.513,0,CC BY-SA 3.0
10920256,2,10919857,2012-06-06T18:48:02.607,0,"<p>Have a look to the output of:</p>

<pre><code>&lt;?php phpinfo(); ?&gt;
</code></pre>

<p>What does it show in ""Registered PHP Streams""? Do you see ""https"" on that line?</p>

<p>If not, just add:</p>

<pre><code>extension=php_openssl.dll
</code></pre>

<p>to your php.ini file and restart the web server. It will load OpenSSL extension.</p>
",1409082,,,2012-06-06T18:48:02.607,1,CC BY-SA 3.0
10932631,2,10923870,2012-06-07T13:18:00.500,0,"<p>In order to make the following output</p>

<pre><code>&lt;Leads&gt;
  &lt;row no=""1""&gt;
    &lt;FL val=""Lead Source""&gt;Web Download&lt;/FL&gt;
    &lt;FL val=""First Name""&gt;Robert&lt;/FL&gt;
    &lt;FL val=""Last Name""&gt;Snyder&lt;/FL&gt;
    &lt;FL val=""Email""&gt;rob@snyder.com&lt;/FL&gt;
    &lt;FL val=""Title""&gt;Programmer&lt;/FL&gt;
    &lt;FL val=""Phone""&gt;1029384756&lt;/FL&gt;
    &lt;FL val=""Home Phone""&gt;6574839201&lt;/FL&gt;
    &lt;FL val=""Other Phone""&gt;1243567890&lt;/FL&gt;
    &lt;FL val=""Fax""&gt;098776545432&lt;/FL&gt;
    &lt;FL val=""Mobile""&gt;1243098566&lt;/FL&gt;
  &lt;/row&gt;
&lt;/Leads&gt;
</code></pre>

<p>copy use this code and run it in a unit test.</p>

<pre><code>[TestFixture]
public class XmlDataTests
{
    XmlDocument doc = new XmlDocument();
    [Test]
    public void TestMethod()
    {
        var rootNode = doc.CreateElement(""Leads"");
        doc.AppendChild(rootNode);

        var rowNode = doc.CreateElement(""row"");
        var attribute = doc.CreateAttribute(""no"");
        attribute.Value = ""1"";
        rowNode.Attributes.Append(attribute);

        rowNode.AppendChild(GenerateNode(""Lead Source"",""Web Download""));
        rowNode.AppendChild(GenerateNode(""First Name"",""Robert""));
        rowNode.AppendChild(GenerateNode(""Last Name"",""Snyder""));
        rowNode.AppendChild(GenerateNode(""Email"",""rob@snyder.com""));
        rowNode.AppendChild(GenerateNode(""Title"",""Programmer""));
        rowNode.AppendChild(GenerateNode(""Phone"",""1029384756""));
        rowNode.AppendChild(GenerateNode(""Home Phone"",""6574839201""));
        rowNode.AppendChild(GenerateNode(""Other Phone"",""1243567890""));
        rowNode.AppendChild(GenerateNode(""Fax"",""098776545432""));
        rowNode.AppendChild(GenerateNode(""Mobile"",""1243098566""));

        rootNode.AppendChild(rowNode);
        doc.Save(""C:\\test.xml"");
    }

    private XmlNode GenerateNode(string field, string innerValue)
    {
        var xmlNode = doc.CreateElement(""FL"");
        var xmlAttribute = doc.CreateAttribute(""val"");
        xmlAttribute.Value = field;
        xmlNode.Attributes.Append(xmlAttribute);
        xmlNode.InnerText = innerValue;

        return xmlNode;
    }
}
</code></pre>
",1329396,,,2012-06-07T13:18:00.500,0,CC BY-SA 3.0
11513164,2,11513122,2012-07-16T21:56:21.380,5,"<p>There is a <a href=""https://github.com/QuickbaseAdmirer/QuickBase-C-Sharp-SDK"" rel=""nofollow"">QuickBase C# SDK</a> that might help get you started.</p>

<pre><code>using System;
using Intuit.QuickBase.Client;

namespace MyProgram.QB.Interaction
{
    class MyApplication
    {
        static void Main(string[] args)
        {
            var client = QuickBase.Client.QuickBase.Login(""your_QB_username"", ""your_QB_password"");
            var application = client.Connect(""your_app_dbid"", ""your_app_token"");
            var table = application.GetTable(""your_table_dbid"");
            table.Query();

            foreach(var record in table.Records)
            {
               Console.WriteLine(record[""your_column_heading""]);
            }
            client.Logout();
        }
    }
}
</code></pre>

<p>There is also a <a href=""http://icanhascode.blogspot.com/2009/12/quickbase-c-api-wrapper.html"" rel=""nofollow"">QuickBase API Wrapper</a> example as well.</p>
",110088,1698450,2013-04-23T22:57:49.250,2013-04-23T22:57:49.250,2,CC BY-SA 3.0
12054906,2,10476572,2012-08-21T12:31:50.367,1,"<p>To get all of the records in the table you can follow the example at the following site:
<a href=""https://code.intuit.com/sf/wiki/do/viewPage/projects.quickbase_c_sdk/wiki/HomePage"" rel=""nofollow"">https://code.intuit.com/sf/wiki/do/viewPage/projects.quickbase_c_sdk/wiki/HomePage</a> .</p>

<pre><code>using System;
using Intuit.QuickBase.Client;

namespace MyProgram.QB.Interaction
{
    class MyApplication
    {
        static void Main(string[] args)
        {
            var client = QuickBase.Client.QuickBase.Login(""your_QB_username"", ""your_QB_password"");
            var application = client.Connect(""your_app_dbid"", ""your_app_token"");
            var table = application.GetTable(""your_table_dbid"");
            table.Query();

            foreach(var record in table.Records)
            {
               Console.WriteLine(record[""your_column_heading""]);
            }
            client.Logout();
        }
    }
}
</code></pre>

<p>To do specific query using the already built C# API, you can do the following:</p>

<pre><code>var querystring1 = new QueryStrings(FieldID,ComparisonOperator.GTE,value,LogicalOperator.AND);
var querystring2 = new QueryStrings(FieldID, ComparisonOperator.XEX, value, LogicalOperator.NONE);
</code></pre>

<p>then </p>

<pre><code>    var query = new Query();
query.Add(querystring1);
query.Add(querystring2);
table.Query(query, new[] { 1,2,3,4}, new[] { 1,2});
</code></pre>

<p>The second parameter is the field IDs of the columns you want and the Third parameter is the field ID's to sort the records by.</p>

<p>In your case I would just do the loop and add all the records to a collection. Then you could probably use LINQ or just the column headings to loop through all your records.</p>

<p>This is the way I did it to get specific data:</p>

<pre><code>foreach(var record in table.Records)
            {
                var row = new String[8];
                row[0] = record[""Column Name""];
                row[1] = record[""Column Name""];
                row[2] = record[""Column Name""];
                row[3] = record[""Column Name""];
                row[4] = record[""Column Name""];
                row[5] = record[""Column Name""];
                row[6] = record[""Column Name""];
                row[7] = record[""Column Name""];
                list.Add(row);//This is a List&lt;string[]&gt; collection. But use what you want
            }
</code></pre>
",1614235,1614235,2012-08-21T12:45:55.137,2012-08-21T12:45:55.137,0,CC BY-SA 3.0
12087521,2,12087385,2012-08-23T08:20:33.677,1,"<p>To get attributes:</p>

<pre><code>foreach ($value-&gt;attributes() as $key =&gt; $val){
    // get all attributes
}
</code></pre>

<p>To get data:</p>

<pre><code>echo (string) $load-&gt;result-&gt;Contacts-&gt;row-&gt;FL[0];
</code></pre>
",204701,204701,2012-08-23T08:38:50.083,2012-08-23T08:38:50.083,2,CC BY-SA 3.0
12242211,2,12242168,2012-09-03T05:01:26.857,2,"<p>Simply add a full page fixed position overlay that says ""Saving... Please wait."" on it. You might even make it semi-transparent grey.</p>
",847382,,,2012-09-03T05:01:26.857,0,CC BY-SA 3.0
12272004,2,12270740,2012-09-04T22:08:46.887,0,"<p>You are resetting <code>max_height</code> to zero for each <code>table</code>. Try moving that out of the <code>each</code> loop, along with the eventual setting of the height:</p>

<pre><code>var max_height = 0; // init max
// find tallest table
$('#element4 table').each(function(x, table) {
    var yHeight = $(table).height();
    max_height = (yHeight &gt; max_height) ? yHeight : max_height;
});
$('#element4').height(max_height); // set height
console.log(max_height);
</code></pre>
",1576269,,,2012-09-04T22:08:46.887,2,CC BY-SA 3.0
12332663,2,12004748,2012-09-08T16:51:33.453,1,"<p>Assembla is good at integrating your SCM with your ticket/bug tracking.  This is it's specialty.  You can use Merge Requests for Code Review and Release Management.  It has several ticket views for Management planning and Development planning.  Every commit is able to be linked directly to tickets and you are able to track not only your bugs as they flow through the system, but the code that surrounds these bugs.</p>

<p>You should try it, there is a 30 day free trial that will allow you to use all of the various tools associated.</p>
",1524766,,,2012-09-08T16:51:33.453,0,CC BY-SA 3.0
12352032,2,12318829,2012-09-10T12:46:38.037,0,"<p>i got the answer..just enable ""Yes"" in settings/plugin/editor/zoho editor...;-)</p>
",607745,,,2012-09-10T12:46:38.037,0,CC BY-SA 3.0
12457158,2,12382382,2012-09-17T10:13:13.870,0,"<p>The original CKEditor component made available by André Ramos in the OutSystems Network has some limitations, namely lack of support for multiple instances on the same page and other problems when replaced through an AJAX request.</p>

<p>Check if the modified versions by António Chinita address your issues (see <a href=""http://www.outsystems.com/NetworkForums/ViewTopic.aspx?TopicId=5953&amp;Topic=%5b%5b%5dCKEditor%5d-Discussion#Post26870"" rel=""nofollow"">here</a> and <a href=""http://www.outsystems.com/NetworkForums/ViewTopic.aspx?TopicId=5953&amp;Topic=%5b%5b%5dCKEditor%5d-Discussion#Post27497"" rel=""nofollow"">here</a>). They are available in the component's discussion thread.</p>
",19401,,,2012-09-17T10:13:13.870,0,CC BY-SA 3.0
12562924,2,12507134,2012-09-24T10:13:06.313,3,"<p>That behavior can be accomplished this way:</p>

<ul>
<li>add an optional input parameter to the webscreens where you have the tabs to specify which tab to be selected when the user lands on the page</li>
<li>feed that parameter to the <code>InitialactiveTab</code> input of the *Tabs_ClientSide* web block</li>
<li>in all links where you want the target to open with an initial different tab, specify which tab to open by filling the optional input parameter you created with the title of the tab to be activated</li>
</ul>
",19401,,,2012-09-24T10:13:06.313,0,CC BY-SA 3.0
12563297,2,12559029,2012-09-24T10:36:58.637,1,"<p>This is a generic <em>fixed table header</em> problem. You can solve it employing solutions that aren't specific to the OutSystems paltform. Please check <a href=""https://stackoverflow.com/questions/673153/html-table-with-fixed-headers"">this answer</a> or this <a href=""http://fixedheadertable.com/"" rel=""nofollow noreferrer"">jQuery Plugin for Fixed header tables</a>.</p>

<p>Should you need any help with using jQuery with OutSystems, you can check the posts by João Rosado in <a href=""http://www.outsystems.com/NetworkForums/ViewTopic.aspx?TopicId=7548&amp;Topic=Integration-of-jQuery"" rel=""nofollow noreferrer"">this thread</a>.</p>
",19401,-1,2017-05-23T10:27:55.550,2012-09-24T10:36:58.637,1,CC BY-SA 3.0
12893712,2,12892318,2012-10-15T10:29:12.123,1,"<p>There's pretty good advice in <a href=""http://docs.cksource.com/CKEditor_3.x/Developers_Guide/Toolbar"" rel=""nofollow"">the developers guide</a>, but this is what I use:</p>

<p>In your config.js </p>

<pre><code>config.toolbar = 'Mine';
config.toolbar_Mine =
[
    { name: 'document', items: ['Source', '-', 'Save', 'NewPage', 'DocProps', '-', 'Templates'] },
    { name: 'clipboard', items: ['Cut', 'Copy', 'Paste', 'PasteText', 'PasteFromWord', '-', 'Undo', 'Redo'] },
    { name: 'editing', items: ['Find', 'Replace', '-', 'SelectAll', '-', 'SpellChecker', 'Scayt'] },
    '/',
    { name: 'basicstyles', items: ['Bold', 'Italic', 'Underline', 'Strike', 'Subscript', 'Superscript', '-', 'RemoveFormat'] },
    { name: 'paragraph', items: ['NumberedList', 'BulletedList', '-', 'Outdent', 'Indent', '-', 'CreateDiv',
    '-', 'JustifyLeft', 'JustifyCenter', 'JustifyRight', 'JustifyBlock']
    },
    { name: 'links', items: ['Link', 'Unlink', 'Doxtest'] },
    { name: 'insert', items: ['Image', 'Table', 'HorizontalRule', 'SpecialChar', 'PageBreak'] },
    '/',
    { name: 'styles', items: ['Styles', 'Format', 'FontSize'] },
    { name: 'colors', items: ['TextColor', 'BGColor'] },
    { name: 'tools', items: ['Maximize', 'ShowBlocks'] },
    { name: 'ponify', items: ['InsertMagicalPony'] }
];
</code></pre>

<p>Then just add/remove whatever you need. Note the <code>{ name: 'ponify', items: ['InsertMagicalPony'] }</code>,which you for example would probably not have.</p>
",694325,,,2012-10-15T10:29:12.123,0,CC BY-SA 3.0
13077220,2,13056153,2012-10-25T21:01:41.590,0,"<p>I solved my issue. </p>

<p>When I submit my first record in table A I can grab the rid xml object.</p>

<pre><code>$results = $quickbase-&gt;add_record($fields);
$rid = $results-&gt;rid;
</code></pre>
",1342183,,,2012-10-25T21:01:41.590,0,CC BY-SA 3.0
13271771,2,13085151,2012-11-07T14:29:16.833,6,"<p>You need to go to the input properties and in the <em>Null Value</em> set it to 0.</p>
",1514485,,,2012-11-07T14:29:16.833,1,CC BY-SA 3.0
13311108,2,13063536,2012-11-09T15:39:26.680,3,"<p>I don't think the CKEditor component has that bug, so this sounds like an application logic problem.</p>

<p>Are you sure you are:</p>

<ol>
<li>Properly saving the Variable bound to the Input that CKEditor is
overlaying to a persistent place (DB, session variable etc) inside
the screen Submit action?</li>
<li>Loading <strong>that</strong> same Variable with <strong>that</strong> persisted value inside the
screen Preparation action? (when you come back to edit)</li>
</ol>

<p>Miguel</p>
",954773,,,2012-11-09T15:39:26.680,1,CC BY-SA 3.0
13364451,2,13364414,2012-11-13T16:19:32.190,0,"<p>give table some id and call $(tableId).hide(); Optionally you may want to show the table but disable it until data is returned</p>
",814628,,,2012-11-13T16:19:32.190,1,CC BY-SA 3.0
