,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
Term 11,element 0.0119,work 0.0154,javascript 0.0129,widget 0.0147,error 0.0125,url 0.012,solut 0.0089,app 0.0139,box 0.0178,admin 0.0154,insert 0.0127,process 0.0111,side 0.0138,display 0.0147
Term 12,css 0.0115,im 0.014,html 0.012,creat 0.0125,custom 0.0123,action 0.0112,gener 0.0084,import 0.0134,button 0.0167,permiss 0.0135,apex 0.0122,activ 0.0102,call 0.0126,function 0.0129
Term 13,html 0.0113,problem 0.0104,class 0.0103,script 0.0123,xml 0.0114,creat 0.011,answer 0.0084,pdf 0.0128,valu 0.0166,role 0.0134,creat 0.0119,assign 0.0099,time 0.012,calcul 0.0128
Term 14,bind 0.0098,fail 0.01,map 0.0098,load 0.0118,method 0.0112,edit 0.0103,applic 0.0081,picker 0.0124,column 0.0158,login 0.0125,entiti 0.0118,creat 0.0093,problem 0.0098,im 0.0127
Term 15,display 0.0095,domain 0.0096,resourc 0.0098,select 0.0115,integr 0.0109,load 0.0102,im 0.0079,export 0.0114,collect 0.015,manag 0.0125,parent 0.0113,im 0.0092,execut 0.0095,time 0.0111
Term 16,chart 0.0092,account 0.0092,load 0.0094,filter 0.0106,token 0.0097,navig 0.0095,inform 0.0075,creat 0.011,input 0.0131,environ 0.0121,return 0.011,entiti 0.0089,line 0.0095,work 0.0093
Term 17,work 0.0088,agent 0.0084,emb 0.0091,key 0.0103,header 0.0095,popup 0.0093,import 0.0073,azur 0.0104,properti 0.0125,publish 0.0118,trigger 0.0107,owner 0.0084,version 0.0092,base 0.0091
Term 18,insid 0.0087,notif 0.0076,apex 0.0089,project 0.0103,pass 0.0095,commun 0.0089,platform 0.0072,save 0.01,display 0.0117,domain 0.0104,queri 0.0106,templat 0.0082,array 0.0086,express 0.0091
Term 19,color 0.0085,setup 0.0075,run 0.0085,id 0.0102,return 0.0091,detail 0.0084,store 0.0067,team 0.0098,submit 0.0116,custom 0.01,case 0.0105,base 0.0074,write 0.0086,report 0.009
Term 20,disabl 0.0078,password 0.0071,call 0.0079,calcul 0.0099,lead 0.0088,browser 0.0078,tool 0.0066,link 0.0097,edit 0.0113,share 0.0099,array 0.0098,field 0.0072,output 0.0081,month 0.0089
Term 21,dynam 0.0076,fine 0.0067,insid 0.0078,updat 0.0087,access 0.0087,select 0.0075,mysql 0.0065,sheet 0.0095,save 0.0096,set 0.0097,write 0.0092,workflow 0.0071,wrong 0.0077,valu 0.0088
Term 22,checkbox 0.0074,smtp 0.0066,develop 0.0076,page 0.0083,php 0.0087,work 0.0075,local 0.006,store 0.0091,default 0.0091,secur 0.0096,child 0.0085,store 0.007,find 0.0074,row 0.0088
Term 23,add 0.0072,log 0.0063,chrome 0.0076,save 0.0082,chatter 0.0084,add 0.0075,build 0.0058,convert 0.0089,creat 0.0088,preview 0.0095,valu 0.008,answer 0.007,result 0.0068,sort 0.0074
Term 24,icon 0.007,set 0.0063,ifram 0.0076,sourc 0.0077,http 0.0082,screen 0.0073,common 0.0057,csv 0.0088,powerapp 0.0086,enabl 0.0088,requir 0.0077,add 0.0068,method 0.0067,day 0.0074
Term 25,panel 0.007,chat 0.0062,file 0.0075,edit 0.0072,document 0.0082,menu 0.007,save 0.0057,download 0.0085,control 0.0082,connect 0.0081,product 0.0077,trigger 0.0066,make 0.0066,formula 0.0073
Term 26,control 0.007,run 0.006,static 0.0068,employe 0.0072,work 0.0082,onclick 0.0067,suggest 0.0057,pictur 0.0078,fill 0.0079,log 0.0079,test 0.0075,global 0.0066,test 0.0064,statement 0.0071
Term 27,editor 0.0066,solv 0.006,applic 0.0067,event 0.0069,web 0.0078,window 0.0066,db 0.0056,local 0.0071,filter 0.0074,token 0.0074,retriev 0.0075,record 0.0065,thing 0.0062,field 0.0067
Term 28,option 0.0066,creat 0.0057,consol 0.0066,manual 0.0067,send 0.0072,print 0.0064,step 0.0056,function 0.0069,lookup 0.0074,packag 0.007,dynam 0.0068,true 0.0061,load 0.0056,join 0.0067
Term 29,im 0.0062,gmail 0.0056,build 0.0066,display 0.0067,format 0.0071,consol 0.0064,point 0.0051,gener 0.0065,sourc 0.0073,organ 0.0069,fetch 0.0068,request 0.0057,librari 0.0055,total 0.0065
Term 30,show 0.0062,id 0.0056,requir 0.0065,base 0.0065,form 0.0069,fragment 0.0063,extern 0.005,spreadsheet 0.0063,popul 0.0071,servic 0.0067,error 0.0067,view 0.0057,fine 0.0055,condit 0.0062
