,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16
Term 11,result 0.0149,creat 0.0165,domain 0.0136,display 0.0112,result 0.0126,excel 0.0122,key 0.0171,display 0.0172,xml 0.0134,text 0.0127,execut 0.014,class 0.0169,app 0.0154,develop 0.0087,text 0.0173,map 0.0134,valid 0.0131
Term 12,field 0.0135,instanc 0.0165,account 0.0127,emb 0.011,text 0.0106,im 0.0108,datasourc 0.0157,formula 0.0148,method 0.0126,select 0.0102,return 0.0122,trigger 0.0163,creat 0.0144,support 0.0087,display 0.0168,javascript 0.0132,fine 0.0129
Term 13,page 0.0132,microsoft 0.0147,set 0.0121,login 0.0108,output 0.0104,csv 0.0106,item 0.0144,drop 0.0146,paramet 0.0121,style 0.0101,method 0.0121,apex 0.0159,publish 0.0142,templat 0.0086,control 0.0142,tag 0.0113,line 0.0108
Term 14,relat 0.0121,app 0.014,error 0.0108,view 0.0106,date 0.0097,save 0.0093,delet 0.0123,chang 0.0126,im 0.0121,onclick 0.0098,load 0.0091,report 0.014,develop 0.0141,gener 0.0085,properti 0.0127,attribut 0.0103,check 0.0107
Term 15,display 0.0121,custom 0.0128,templat 0.0102,action 0.0106,pass 0.0097,report 0.0091,edit 0.012,base 0.0113,return 0.0116,edit 0.0093,write 0.0089,chatter 0.0122,manag 0.0132,compani 0.008,imag 0.0122,resourc 0.0102,wrong 0.0104
Term 16,load 0.0119,password 0.0116,notif 0.0099,load 0.0104,entiti 0.0092,content 0.009,valu 0.0096,suggest 0.0107,header 0.0105,display 0.0091,trigger 0.0084,creat 0.0114,directori 0.013,system 0.008,creat 0.0119,apex 0.0102,throw 0.0099
Term 17,sort 0.0114,powerapp 0.0112,request 0.0098,redirect 0.0104,format 0.0089,download 0.0082,manual 0.0096,month 0.0105,error 0.01,work 0.0084,app 0.0082,lead 0.0105,log 0.0126,end 0.0078,powerapp 0.0115,dynam 0.0101,creat 0.0084
Term 18,base 0.0103,common 0.0089,connect 0.0087,websit 0.0104,write 0.0082,spreadsheet 0.0076,mode 0.0084,im 0.0104,send 0.0095,row 0.0081,time 0.0081,activ 0.0104,share 0.0126,servic 0.0078,sourc 0.0114,event 0.0097,event 0.008
Term 19,item 0.01,mysql 0.0084,smtp 0.0086,window 0.01,multipl 0.008,convert 0.0075,question 0.0082,default 0.0088,php 0.0089,popup 0.008,work 0.0077,insert 0.0097,preview 0.0124,featur 0.0077,edit 0.0112,render 0.0096,ive 0.0078
Term 20,sourc 0.0089,environ 0.0081,alert 0.0071,commun 0.0096,input 0.0079,size 0.0073,insert 0.0081,input 0.0087,http 0.0087,option 0.0079,order 0.0076,action 0.0094,domain 0.0111,tool 0.0074,save 0.011,page 0.0095,time 0.0078
Term 21,work 0.0078,provid 0.0071,problem 0.0071,close 0.0095,properti 0.0078,problem 0.0073,store 0.0075,function 0.0084,integr 0.0085,textbox 0.0077,librari 0.0071,base 0.0086,set 0.0108,web 0.0073,input 0.0101,insid 0.0094,add 0.0069
Term 22,join 0.0076,applic 0.0071,host 0.0067,work 0.0095,expect 0.0074,imag 0.007,databas 0.0068,day 0.0083,lead 0.0079,css 0.0077,event 0.007,delet 0.0082,enabl 0.0103,base 0.0072,im 0.01,show 0.009,execut 0.0069
Term 23,show 0.0068,db 0.007,gmail 0.0064,ifram 0.0092,convert 0.0073,team 0.0067,relationship 0.0067,radio 0.0078,call 0.0076,color 0.0076,refer 0.007,attach 0.008,secur 0.0099,requir 0.0068,lookup 0.0098,function 0.0088,instal 0.0068
Term 24,script 0.0066,local 0.0068,port 0.0059,javascript 0.0085,attribut 0.0073,light 0.0067,automat 0.0065,popul 0.0076,pass 0.0075,menu 0.0072,error 0.0068,profil 0.008,packag 0.0086,provid 0.0068,navig 0.0095,load 0.008,command 0.0068
Term 25,return 0.0064,run 0.0067,chang 0.0058,site 0.0085,field 0.0072,idea 0.0066,exist 0.0064,multipl 0.0076,oauth 0.0071,panel 0.0071,line 0.0064,queri 0.0079,environ 0.0085,search 0.0067,inform 0.0093,display 0.0078,read 0.0066
Term 26,paramet 0.0063,dynam 0.0065,fail 0.0058,web 0.0084,index 0.0065,locat 0.0061,parent 0.0061,choos 0.0071,document 0.0071,item 0.0067,read 0.0062,process 0.0079,organ 0.0081,store 0.0065,select 0.0087,jqueri 0.0076,null 0.0063
Term 27,project 0.0063,configur 0.0062,workflow 0.0056,agent 0.0084,match 0.0064,librari 0.006,uniqu 0.006,work 0.0071,authent 0.0071,set 0.0063,find 0.0058,test 0.0077,im 0.0079,make 0.0064,excel 0.0085,call 0.0071,receiv 0.006
Term 28,search 0.0063,store 0.006,thread 0.0055,access 0.0083,paramet 0.0061,document 0.006,countri 0.006,text 0.007,bodi 0.0068,fragment 0.0062,consol 0.0056,check 0.0076,multipl 0.0077,thing 0.0063,updat 0.008,add 0.0071,start 0.006
Term 29,bind 0.0063,cd 0.006,rout 0.0055,screen 0.0081,structur 0.0061,link 0.0058,order 0.0059,combobox 0.0068,retriev 0.0068,disabl 0.0061,test 0.0054,write 0.0066,option 0.0075,platform 0.0063,store 0.008,implement 0.007,give 0.006
Term 30,total 0.0062,support 0.0058,inform 0.0053,visualforc 0.0076,statement 0.0055,local 0.0058,im 0.0055,result 0.0068,creator 0.0066,show 0.0059,question 0.0054,relat 0.0066,assign 0.0072,manag 0.0062,click 0.0078,imag 0.0069,invalid 0.006
