,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
Term 11,csv 0.012,object 0.0145,sharepoint 0.0175,creat 0.0133,fail 0.0115,manag 0.0144,support 0.0128,display 0.0136,updat 0.0152,end 0.0079,widget 0.0132,error 0.0141,datasourc 0.0179,updat 0.0138,box 0.023,button 0.016,account 0.0121,creat 0.0134
Term 12,download 0.0114,variabl 0.0136,sourc 0.0166,report 0.013,null 0.0108,creat 0.0137,creat 0.011,work 0.0134,time 0.0152,thing 0.0078,line 0.0129,xml 0.0134,model 0.0168,item 0.0136,valu 0.0182,row 0.0159,password 0.0118,templat 0.0129
Term 13,error 0.0103,dynam 0.0127,imag 0.015,trigger 0.0125,properti 0.0104,publish 0.0136,mysql 0.0107,applic 0.0134,work 0.0144,ive 0.0077,page 0.0129,paramet 0.0129,column 0.0162,column 0.0131,display 0.0158,properti 0.0155,agent 0.0112,mode 0.0122
Term 14,convert 0.01,web 0.0126,excel 0.0135,chatter 0.0112,line 0.0101,set 0.0135,read 0.0102,load 0.013,problem 0.0132,lot 0.0077,chart 0.0127,integr 0.0129,return 0.0144,insert 0.0119,properti 0.0157,model 0.0152,connect 0.0112,open 0.012
Term 15,gener 0.01,javascript 0.0124,connect 0.0116,lead 0.0109,execut 0.0101,directori 0.0134,db 0.0102,commun 0.0121,load 0.0123,search 0.0076,color 0.0119,method 0.012,paramet 0.0111,entiti 0.011,option 0.015,load 0.0141,notif 0.01,popup 0.0112
Term 16,doc 0.01,pass 0.0122,creat 0.0107,activ 0.0109,throw 0.0098,preview 0.0134,option 0.0094,emb 0.0113,version 0.01,gener 0.0075,tag 0.0117,access 0.0112,month 0.0111,multipl 0.0101,search 0.013,dropdown 0.0127,server 0.01,action 0.0101
Term 17,team 0.0099,html 0.0121,pictur 0.0101,owner 0.0093,messag 0.0097,environ 0.0134,tabl 0.0088,web 0.0103,call 0.0098,handl 0.0071,add 0.0109,header 0.0105,im 0.0109,uniqu 0.0086,variabl 0.0125,chang 0.0111,problem 0.0095,add 0.0099
Term 18,sheet 0.0099,work 0.012,updat 0.0098,check 0.0086,read 0.0095,app 0.0129,extern 0.0085,screen 0.0098,librari 0.0089,understand 0.0068,work 0.0107,php 0.01,total 0.0105,singl 0.0085,formula 0.0114,relat 0.0105,smtp 0.0088,fill 0.009
Term 19,refer 0.0093,element 0.0114,dynam 0.0095,process 0.0085,check 0.0093,domain 0.0126,model 0.0081,redirect 0.0094,execut 0.0088,develop 0.0067,icon 0.01,http 0.0097,sql 0.0098,valu 0.0084,button 0.01,click 0.0105,chat 0.0082,enter 0.0087
Term 20,content 0.0079,insid 0.0103,store 0.0092,delet 0.0081,variabl 0.0088,enabl 0.012,local 0.0078,view 0.0089,app 0.0074,good 0.0067,print 0.0096,work 0.0096,search 0.0092,relationship 0.008,form 0.01,display 0.0089,im 0.008,manual 0.0087
Term 21,spreadsheet 0.0076,resourc 0.0095,ms 0.0086,attach 0.0078,im 0.0084,secur 0.0115,edit 0.0075,creat 0.0089,start 0.0071,manag 0.0066,ive 0.008,send 0.0094,join 0.0088,im 0.0073,lookup 0.0098,show 0.0084,inform 0.0076,function 0.0081
Term 22,modul 0.0075,properti 0.0088,onlin 0.0074,action 0.0075,valid 0.0083,servic 0.0102,gateway 0.0067,ifram 0.0088,sheet 0.007,step 0.0066,content 0.0077,return 0.0092,base 0.0087,parent 0.0072,work 0.0093,onclick 0.0084,gmail 0.0074,locat 0.008
Term 23,excel 0.0072,call 0.0085,cd 0.0073,chang 0.0075,output 0.0083,share 0.0099,setup 0.0067,id 0.0084,log 0.0068,problem 0.0063,problem 0.0077,document 0.0088,day 0.0085,save 0.0067,base 0.0092,script 0.0078,setup 0.0072,default 0.0078
Term 24,base 0.007,function 0.008,screen 0.0073,profil 0.0074,wrong 0.0078,error 0.0098,configur 0.0065,vf 0.0083,refer 0.0063,basic 0.0062,input 0.0076,servic 0.0086,select 0.008,number 0.0066,input 0.0087,entri 0.0076,set 0.0072,record 0.0077
Term 25,save 0.0069,static 0.0075,user 0.0071,insert 0.0072,valu 0.0076,work 0.0089,gener 0.0064,window 0.0083,trigger 0.0062,support 0.0061,height 0.0072,web 0.0083,count 0.0075,order 0.0064,default 0.0086,valu 0.0072,log 0.0068,document 0.0077
Term 26,format 0.0063,file 0.0073,common 0.0071,assign 0.007,run 0.0073,organ 0.0088,import 0.0056,mobil 0.0079,test 0.006,similar 0.006,top 0.0072,pass 0.0082,format 0.0073,exist 0.0063,control 0.0086,edit 0.007,fail 0.0066,link 0.0076
Term 27,extens 0.0059,implement 0.007,offic 0.007,opportun 0.007,find 0.0072,check 0.0084,load 0.0055,site 0.0078,creat 0.0056,base 0.0059,show 0.0071,lead 0.0081,sourc 0.007,child 0.0063,show 0.0082,detail 0.0069,solv 0.006,input 0.007
Term 28,applic 0.0059,aura 0.007,idea 0.0068,base 0.0067,method 0.007,org 0.0083,default 0.0055,consol 0.0078,command 0.0054,function 0.0059,editor 0.0071,authent 0.0074,student 0.0069,loop 0.0062,navig 0.0081,fragment 0.0067,check 0.006,back 0.0068
Term 29,store 0.0058,input 0.0064,share 0.0068,sale 0.0065,correct 0.0067,log 0.0077,featur 0.0053,navig 0.0076,wrong 0.0053,multipl 0.0057,size 0.0067,oauth 0.0071,year 0.0065,store 0.0059,tabl 0.0079,project 0.0066,port 0.006,employe 0.0067
Term 30,local 0.0055,requir 0.0063,time 0.0068,relat 0.0065,problem 0.0066,view 0.0074,suggest 0.0052,javascript 0.0071,fine 0.0053,order 0.0055,put 0.0065,call 0.0064,script 0.0065,sourc 0.0052,im 0.0077,field 0.0064,rout 0.006,confirm 0.0065
