Question_id,ViewCount,Challenge_Id,SDLC,ChallengeLabelModGias,Topic_Label,Topic_Id,ChallengeLabelModAlamin,Challenge_Label,Topic_Category,CreationDate
61834955,7,1,Development,Testing/Debugging,Dynamic Content Binding,8,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-16 09:55:46.263
61932638,7,21,Development,Testing/Debugging,Dynamic Event Handling,12,,Input validation,Customization,2020-05-21 10:41:03.503
61284724,8,3,Development,Feature,Data Storage & Migration,0,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Database,2020-04-18 05:44:50.963
61676798,8,1,Development,Testing/Debugging,Data Storage & Migration,0,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Database,2020-05-08 10:13:42.707
61775267,8,2,Development,Feature,Data Storage & Migration,0,,General programming query [JSON to CSV/excel],Database,2020-05-13 12:57:27.707
62036134,8,7,Development,Feature,Dynamic Content Binding,8,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-05-27 05:37:29.293
62049277,8,7,Development,Feature,Dynamic Form Controller,1,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-05-27 17:30:44.733
61867669,9,1,Development,Testing/Debugging,Client Server Comm & IO,11,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Adoption,2020-05-18 10:36:51.387
61947363,9,12,Maintenance,Authentication,Data Storage & Migration,0,,Access control [Application accessibility| Permission],Database,2020-05-22 03:26:59.520
62065508,9,11,Development,Testing/Debugging,Data Storage & Migration,0,,Platform issues [platform limitaion | not working as expected],Database,2020-05-28 13:06:32.490
61112343,10,3,Development,Feature,External API & Email Config,7,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Integration,2020-04-09 00:59:16.283
61252925,10,1,Development,Testing/Debugging,Dynamic Event Handling,12,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-04-16 14:35:53.927
61343277,10,11,Development,Testing/Debugging,UI Adaptation,5,,Platform issues [platform limitaion | not working as expected],Customization,2020-04-21 12:11:27.460
61749474,10,12,Development,Authentication,Access Control & Security,2,,Access control [Application accessibility| Permission],Adoption,2020-05-12 10:33:58.670
61749474,10,15,Development,Documentation,Access Control & Security,2,,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],Adoption,2020-05-12 10:33:58.670
61798937,10,4,Maintenance,Feature,Access Control & Security,2,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Adoption,2020-05-14 13:45:26.197
61242253,11,3,Development,Feature,Dynamic Event Handling,12,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-04-16 03:34:35.363
61282234,11,0,Development,Documentation,Dynamic Content Binding,8,,Tutorial [How to do this ],Customization,2020-04-17 23:17:57.457
61327724,11,10,Development,Feature,External Web Req Processing,6,,Database [connection| sclability| model design| Export/import data| Database design| DB scalability| DB Admin Authorization|,Integration,2020-04-20 16:48:53.263
61729009,11,6,Development,Feature,UI Adaptation,5,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Customization,2020-05-11 11:48:11.333
61920382,11,20,Testing,Testing/Debugging,Dynamic Event Handling,12,,Testing [Test failed| Test coverage| Third party functional testing suite|],Customization,2020-05-20 18:33:47.390
62020069,11,21,Development,Testing/Debugging,SQL CRUD,3,,Input validation,Database,2020-05-26 10:30:24.067
62020899,11,4,Development,Feature,Dynamic Event Handling,12,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Customization,2020-05-26 11:14:57.997
62066602,11,21,Development,Testing/Debugging,Dynamic Content Binding,8,,Input validation,Customization,2020-05-28 14:00:50.470
55418261,12,5,Development,Feature,External Web Req Processing,6,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Integration,2019-03-29 13:15:59.277
58429974,12,19,Maintenance,Feature,Access Control & Security,2,,Flatform features support [Event Monitoring | Dashboard customization | View Management | role management | collaboration | platform security],Adoption,2019-10-17 10:03:17.520
61668245,12,6,Development,Feature,External Web Req Processing,6,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Integration,2020-05-07 21:43:42.040
61671196,12,0,Development,Documentation,External API & Email Config,7,,Tutorial [How to do this ],Integration,2020-05-08 02:49:46.423
61672841,12,2,Development,Feature,Dynamic Event Handling,12,,General programming query [JSON to CSV/excel],Customization,2020-05-08 05:51:04.343
61683219,12,7,Development,Feature,Dynamic Form Controller,1,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-05-08 16:05:06.787
61685582,12,0,Development,Documentation,Dynamic Content Display,10,,Tutorial [How to do this ],Customization,2020-05-08 18:22:37.440
61735365,12,2,Development,Feature,Dynamic Event Handling,12,,General programming query [JSON to CSV/excel],Customization,2020-05-11 17:14:12.747
61915796,12,3,Development,Feature,Dynamic Content Display,10,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-20 14:34:32.307
62022772,12,1,Development,Testing/Debugging,Dynamic Event Handling,12,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-26 13:01:50.300
61188935,13,0,Development,Documentation,External Web Req Processing,6,,Tutorial [How to do this ],Integration,2020-04-13 13:27:43.950
61207974,13,0,Development,Documentation,Dynamic Event Handling,12,,Tutorial [How to do this ],Customization,2020-04-14 12:42:33.630
61329104,13,9,Development,Feature,Dynamic Content Binding,8,,Database CRUD [Complex Database query| DB query for M:M data model| DB query unexpected| ],Customization,2020-04-20 18:06:07.113
61363424,13,3,Development,Feature,UI Adaptation,5,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-04-22 10:58:13.027
61869531,13,20,Testing,Testing/Debugging,Dynamic Event Handling,12,,Testing [Test failed| Test coverage| Third party functional testing suite|],Customization,2020-05-18 12:24:15.630
61660647,14,7,Development,Feature,Dynamic Event Handling,12,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-05-07 14:42:20.050
61676962,14,3,Development,Feature,Dynamic Content Display,10,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-08 10:23:51.693
61677805,14,5,Development,Feature,External API & Email Config,7,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Integration,2020-05-08 11:10:46.343
61817845,14,1,Development,Testing/Debugging,Cloud and On-Prem Conf,9,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Adoption,2020-05-15 11:11:57.327
61820944,14,1,Development,Testing/Debugging,Dynamic Content Binding,8,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-15 13:53:06.140
62049728,14,1,Development,Testing/Debugging,Dynamic Event Handling,12,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-27 17:53:27.380
61169100,15,3,Development,Feature,Entity Relationship Management,4,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Database,2020-04-12 09:05:50.243
61469908,15,20,Testing,Testing/Debugging,Dynamic Event Handling,12,,Testing [Test failed| Test coverage| Third party functional testing suite|],Customization,2020-04-27 23:02:13.740
61642239,15,1,Development,Testing/Debugging,UI Adaptation,5,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-06 18:10:18.907
61780469,15,12,Development,Authentication,Dynamic Event Handling,12,,Access control [Application accessibility| Permission],Customization,2020-05-13 16:57:52.537
61854113,15,1,Development,Testing/Debugging,Dynamic Event Handling,12,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-17 15:16:26.080
61909353,15,0,Development,Documentation,SQL CRUD,3,,Tutorial [How to do this ],Database,2020-05-20 09:15:16.877
61909353,15,6,Development,Feature,SQL CRUD,3,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Database,2020-05-20 09:15:16.877
61977505,15,15,Development,Documentation,Dynamic Event Handling,12,,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],Customization,2020-05-23 19:24:49.360
61222090,16,18,Planning and Design,Feature,Data Storage & Migration,0,,Data migration [export | import],Database,2020-04-15 05:45:55.380
61345897,16,1,Development,Testing/Debugging,External Web Req Processing,6,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Integration,2020-04-21 14:23:51.917
61731925,16,3,Development,Feature,External API & Email Config,7,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Integration,2020-05-11 14:19:15.453
61776817,16,21,Development,Testing/Debugging,Dynamic Form Controller,1,,Input validation,Customization,2020-05-13 14:08:06.990
61818220,16,1,Development,Testing/Debugging,External Web Req Processing,6,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Integration,2020-05-15 11:32:58.320
61983642,16,7,Development,Feature,Dynamic Form Controller,1,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-05-24 08:51:29.733
61999799,16,5,Development,Feature,External Web Req Processing,6,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Integration,2020-05-25 09:44:56.947
62006237,16,16,Development,Authorization,Access Control & Security,2,,Session/Authentication [social auth | oaut2 | jtoken],Adoption,2020-05-25 16:01:08.153
61330666,17,7,Development,Feature,External Web Req Processing,6,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Integration,2020-04-20 19:38:28.490
61341097,17,1,Development,Testing/Debugging,External API & Email Config,7,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Integration,2020-04-21 10:15:59.040
61687572,17,3,Development,Feature,Dynamic Content Display,10,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-08 20:28:08.577
61687572,17,4,Development,Feature,Dynamic Content Display,10,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Customization,2020-05-08 20:28:08.577
61689176,17,15,Development,Documentation,Dynamic Content Binding,8,,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],Customization,2020-05-08 22:32:34.213
61689176,17,1,Development,Testing/Debugging,Dynamic Content Binding,8,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-08 22:32:34.213
61790198,17,3,Development,Feature,UI Adaptation,5,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-14 05:50:11.513
61964967,17,2,Development,Feature,SQL CRUD,3,,General programming query [JSON to CSV/excel],Database,2020-05-22 22:41:41.337
47505898,18,4,Development,Feature,Data Storage & Migration,0,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Database,2017-11-27 07:38:16.793
61153574,18,0,Development,Documentation,External Web Req Processing,6,,Tutorial [How to do this ],Integration,2020-04-11 07:45:48.793
61221088,18,6,Development,Feature,Dynamic Content Binding,8,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Customization,2020-04-15 03:58:40.860
61904800,18,10,Development,Feature,Access Control & Security,2,,Database [connection| sclability| model design| Export/import data| Database design| DB scalability| DB Admin Authorization|,Adoption,2020-05-20 03:52:59.690
61938413,18,3,Development,Feature,Dynamic Content Binding,8,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-21 15:49:05.207
62002491,18,18,Planning and Design,Feature,External Web Req Processing,6,,Data migration [export | import],Integration,2020-05-25 12:33:25.817
61164244,19,5,Development,Feature,External Web Req Processing,6,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Integration,2020-04-11 22:00:18.860
61287217,19,6,Development,Feature,External Web Req Processing,6,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Integration,2020-04-18 09:54:26.553
61402700,19,4,Requirement,Feature,Cloud and On-Prem Conf,9,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Adoption,2020-04-24 06:47:35.060
61452616,19,10,Development,Feature,Access Control & Security,2,,Database [connection| sclability| model design| Export/import data| Database design| DB scalability| DB Admin Authorization|,Adoption,2020-04-27 06:02:45.097
61674307,19,0,Development,Documentation,UI Adaptation,5,,Tutorial [How to do this ],Customization,2020-05-08 07:39:42.463
61766048,19,1,Development,Testing/Debugging,External Web Req Processing,6,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Integration,2020-05-13 03:46:35.493
62031387,19,11,Development,Testing/Debugging,Dynamic Content Binding,8,,Platform issues [platform limitaion | not working as expected],Customization,2020-05-26 21:04:10.763
61378839,20,7,Development,Feature,Dynamic Content Display,10,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-04-23 03:25:51.337
55075917,21,1,Development,Testing/Debugging,Client Server Comm & IO,11,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Adoption,2019-03-09 09:34:02.517
61238595,21,2,Development,Feature,Dynamic Event Handling,12,,General programming query [JSON to CSV/excel],Customization,2020-04-15 21:04:53.343
61641793,21,7,Development,Feature,Dynamic Event Handling,12,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-05-06 17:48:03.627
42658036,22,0,Development,Documentation,Dynamic Content Binding,8,,Tutorial [How to do this ],Customization,2017-03-07 20:48:05.590
61204978,22,2,Development,Feature,UI Adaptation,5,,General programming query [JSON to CSV/excel],Customization,2020-04-14 09:54:00.270
61647756,22,0,Development,Documentation,Dynamic Content Binding,8,,Tutorial [How to do this ],Customization,2020-05-07 00:24:19.620
61824996,22,6,Development,Feature,Data Storage & Migration,0,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Database,2020-05-15 17:24:43.637
61842832,22,16,Development,Authorization,Access Control & Security,2,,Session/Authentication [social auth | oaut2 | jtoken],Adoption,2020-05-16 20:01:51.283
47628734,23,22,Development,Documentation,Data Storage & Migration,0,,Recommendation on best practice,Database,2017-12-04 07:50:16.033
54161244,23,24,Testing,Feature,UI Adaptation,5,,Browser compatibility,Customization,2019-01-12 15:55:10.607
61734680,23,16,Development,Authorization,Access Control & Security,2,,Session/Authentication [social auth | oaut2 | jtoken],Adoption,2020-05-11 16:35:30.507
61782655,23,0,Development,Documentation,Data Storage & Migration,0,,Tutorial [How to do this ],Database,2020-05-13 18:55:16.150
54114480,24,3,Development,Feature,Dynamic Form Controller,1,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2019-01-09 16:28:29.580
54646038,24,0,Development,Documentation,Dynamic Form Controller,1,,Tutorial [How to do this ],Customization,2019-02-12 08:49:31.220
61282976,24,0,Development,Documentation,Dynamic Content Binding,8,,Tutorial [How to do this ],Customization,2020-04-18 00:54:27.350
61377118,24,3,Development,Feature,Dynamic Content Display,10,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-04-23 00:02:01.020
61405883,24,4,Development,Feature,Dynamic Content Display,10,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Customization,2020-04-24 10:05:05.497
61706612,24,2,Development,Feature,SQL CRUD,3,,General programming query [JSON to CSV/excel],Database,2020-05-10 02:58:49.140
48168891,25,1,Development,Testing/Debugging,Dynamic Event Handling,12,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2018-01-09 13:06:45.073
48185677,25,0,Development,Documentation,Dynamic Event Handling,12,,Tutorial [How to do this ],Customization,2018-01-10 10:47:40.253
48185677,25,6,Development,Feature,Dynamic Event Handling,12,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Customization,2018-01-10 10:47:40.253
54200067,25,14,Deployment,Deployment,Cloud and On-Prem Conf,9,,Deployment Issues [ Local Development],Adoption,2019-01-15 13:41:54.480
55393388,25,12,Maintenance,Authentication,Access Control & Security,2,,Access control [Application accessibility| Permission],Adoption,2019-03-28 08:49:20.530
55393388,25,19,Maintenance,Feature,Access Control & Security,2,,Flatform features support [Event Monitoring | Dashboard customization | View Management | role management | collaboration | platform security],Adoption,2019-03-28 08:49:20.530
61191042,25,0,Development,Documentation,Data Storage & Migration,0,,Tutorial [How to do this ],Database,2020-04-13 15:20:12.500
61845738,25,15,Requirement,Documentation,Access Control & Security,2,,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],Adoption,2020-05-17 01:13:43.267
61845738,25,4,Requirement,Feature,Access Control & Security,2,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Adoption,2020-05-17 01:13:43.267
62037429,25,5,Development,Feature,Data Storage & Migration,0,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Database,2020-05-27 07:15:20.490
55275485,26,1,Development,Testing/Debugging,External API & Email Config,7,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Integration,2019-03-21 07:23:42.517
61670491,26,3,Development,Feature,Dynamic Form Controller,1,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2020-05-08 01:25:17.057
61759228,26,12,Development,Authentication,Access Control & Security,2,,Access control [Application accessibility| Permission],Adoption,2020-05-12 18:24:02.740
61936613,26,1,Development,Testing/Debugging,Dynamic Form Controller,1,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-21 14:18:57.147
53966488,27,1,Development,Testing/Debugging,Dynamic Content Display,10,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2018-12-29 03:37:54.423
61268147,27,2,Development,Feature,Dynamic Content Display,10,,General programming query [JSON to CSV/excel],Customization,2020-04-17 09:24:29.293
61350573,27,0,Development,Documentation,Cloud and On-Prem Conf,9,,Tutorial [How to do this ],Adoption,2020-04-21 18:30:05.220
61379667,27,18,Planning and Design,Feature,Cloud and On-Prem Conf,9,,Data migration [export | import],Adoption,2020-04-23 05:00:16.940
61454256,27,1,Development,Testing/Debugging,Dynamic Event Handling,12,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-04-27 08:05:20.370
61902973,27,10,Development,Feature,Entity Relationship Management,4,,Database [connection| sclability| model design| Export/import data| Database design| DB scalability| DB Admin Authorization|,Database,2020-05-20 00:15:39.967
54622703,28,6,Development,Feature,UI Adaptation,5,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Customization,2019-02-11 00:56:35.370
54828156,28,6,Development,Feature,Client Server Comm & IO,11,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Adoption,2019-02-22 13:26:45.427
57657610,28,19,Development,Feature,Data Storage & Migration,0,,Flatform features support [Event Monitoring | Dashboard customization | View Management | role management | collaboration | platform security],Database,2019-08-26 12:04:10.673
61309820,28,5,Development,Feature,External API & Email Config,7,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Integration,2020-04-19 18:49:52.037
61939435,28,16,Development,Authorization,Access Control & Security,2,,Session/Authentication [social auth | oaut2 | jtoken],Adoption,2020-05-21 16:40:03.663
43612228,29,0,Development,Documentation,Access Control & Security,2,,Tutorial [How to do this ],Adoption,2017-04-25 13:34:30.970
46803436,29,2,Development,Feature,Client Server Comm & IO,11,,General programming query [JSON to CSV/excel],Adoption,2017-10-18 05:36:43.693
55367038,29,15,Planning and Design,Documentation,Access Control & Security,2,,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],Adoption,2019-03-26 22:25:35.060
55367038,29,4,Planning and Design,Feature,Access Control & Security,2,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Adoption,2019-03-26 22:25:35.060
61655523,29,18,Development,Feature,Data Storage & Migration,0,,Data migration [export | import],Database,2020-05-07 10:28:19.433
54773028,30,6,Development,Feature,Client Server Comm & IO,11,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Adoption,2019-02-19 18:47:04.183
61362602,30,9,Development,Feature,Entity Relationship Management,4,,Database CRUD [Complex Database query| DB query for M:M data model| DB query unexpected| ],Database,2020-04-22 10:16:54.123
61729358,30,6,Development,Feature,Access Control & Security,2,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Adoption,2020-05-11 12:09:01.147
61865302,30,0,Development,Documentation,Access Control & Security,2,,Tutorial [How to do this ],Adoption,2020-05-18 08:18:16.760
61961302,30,5,Development,Feature,External Web Req Processing,6,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Integration,2020-05-22 18:08:58.117
55068186,31,14,Deployment,Deployment,Cloud and On-Prem Conf,9,,Deployment Issues [ Local Development],Adoption,2019-03-08 17:29:39.027
55090674,31,8,Development,Feature,Dynamic Content Binding,8,,Data binding,Customization,2019-03-10 17:57:07.773
55219295,31,0,Development,Documentation,Dynamic Content Display,10,,Tutorial [How to do this ],Customization,2019-03-18 10:32:14.220
61120900,31,2,Development,Feature,Data Storage & Migration,0,,General programming query [JSON to CSV/excel],Database,2020-04-09 12:13:11.670
54068351,32,0,Development,Documentation,UI Adaptation,5,,Tutorial [How to do this ],Customization,2019-01-07 03:49:31.200
57225559,32,10,Development,Feature,Client Server Comm & IO,11,,Database [connection| sclability| model design| Export/import data| Database design| DB scalability| DB Admin Authorization|,Adoption,2019-07-26 18:47:20.680
57225559,32,25,Development,Testing/Debugging,Client Server Comm & IO,11,,Version Controlling,Adoption,2019-07-26 18:47:20.680
61206586,32,1,Development,Testing/Debugging,Dynamic Event Handling,12,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-04-14 11:25:33.780
61769866,32,7,Development,Feature,Dynamic Event Handling,12,,UI customization [Design flexibility| UI Overflow| Show/Hide Component| Template],Customization,2020-05-13 08:33:46.437
61782652,32,9,Development,Feature,SQL CRUD,3,,Database CRUD [Complex Database query| DB query for M:M data model| DB query unexpected| ],Database,2020-05-13 18:55:09.413
52836878,33,3,Development,Feature,Dynamic Form Controller,1,,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination | Automatic Email | Embedding | pagination ],Customization,2018-10-16 13:41:31.227
54118895,33,2,Development,Feature,External Web Req Processing,6,,General programming query [JSON to CSV/excel],Integration,2019-01-09 21:50:54.753
55300016,33,2,Development,Feature,UI Adaptation,5,,General programming query [JSON to CSV/excel],Customization,2019-03-22 12:50:14.730
61207759,33,20,Testing,Testing/Debugging,Access Control & Security,2,,Testing [Test failed| Test coverage| Third party functional testing suite|],Adoption,2020-04-14 12:32:23.107
61742910,33,11,Development,Testing/Debugging,Client Server Comm & IO,11,,Platform issues [platform limitaion | not working as expected],Adoption,2020-05-12 02:47:38.080
61131140,35,12,Development,Authentication,Dynamic Event Handling,12,,Access control [Application accessibility| Permission],Customization,2020-04-09 22:18:50.323
61919301,35,15,Development,Documentation,Dynamic Content Display,10,,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],Customization,2020-05-20 17:31:13.767
61919301,35,1,Development,Testing/Debugging,Dynamic Content Display,10,,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| Embedding | ],Customization,2020-05-20 17:31:13.767
43066045,36,13,,,UI Adaptation,5,,wrong tag,Customization,2017-03-28 09:41:19.047
54841101,36,4,Requirement,Feature,Cloud and On-Prem Conf,9,,Queries on Platform [plaform comparision | platform features | Community support | Reusability Scalability performance],Adoption,2019-02-23 11:28:21.177
54980076,36,5,Development,Feature,Cloud and On-Prem Conf,9,,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Adoption,2019-03-04 09:20:15.367
55511505,36,2,Development,Feature,Dynamic Form Controller,1,,General programming query [JSON to CSV/excel],Customization,2019-04-04 08:42:50.900
61443240,36,6,Development,Feature,Dynamic Content Display,10,,General query [HTTP error header message explanation | Feature usage query | Learning curve],Customization,2020-04-26 15:21:21.903
61838119,36,19,Planning and Design,Feature,Access Control & Security,2,,Flatform features support [Event Monitoring | Dashboard customization | View Management | role management | collaboration | platform security],Adoption,2020-05-16 14:09:29.360
