,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
Term 12,url 0.0091,chang 0.016,connector 0.0142,column 0.013,updat 0.0156,view 0.01,error 0.0123,receiv 0.0128,activ 0.0121,time 0.0085,filter 0.0152,execut 0.0135,map 0.0129
Term 13,csv 0.0088,input 0.016,login 0.0137,row 0.0123,field 0.0136,detail 0.0099,return 0.0112,work 0.0109,task 0.0119,develop 0.0083,display 0.0148,time 0.0129,lwc 0.0127
Term 14,save 0.0085,properti 0.0158,develop 0.0132,im 0.0107,datasourc 0.0129,navig 0.0094,xml 0.0111,account 0.0105,delet 0.0095,version 0.0079,select 0.0141,call 0.0124,js 0.012
Term 15,content 0.0085,label 0.0149,permiss 0.0128,sort 0.0102,edit 0.0128,url 0.0092,method 0.0107,configur 0.0103,creat 0.0092,manag 0.0079,im 0.0133,line 0.0096,tag 0.0116
Term 16,download 0.0085,valu 0.0141,role 0.0125,paramet 0.01,sheet 0.0112,popup 0.0085,pass 0.0104,server 0.0101,chang 0.0091,tool 0.0079,valu 0.0132,fail 0.0094,insid 0.0108
Term 17,pictur 0.0079,submit 0.0138,custom 0.0121,return 0.0096,delet 0.0106,creat 0.0083,header 0.0101,domain 0.0097,insert 0.0087,question 0.0078,sourc 0.0114,problem 0.0092,attribut 0.0098
Term 18,access 0.0077,event 0.0133,azur 0.0111,employe 0.0094,product 0.0106,onclick 0.0081,access 0.009,creat 0.0092,parent 0.0081,gener 0.0077,control 0.0105,test 0.0086,page 0.0094
Term 19,agent 0.0076,item 0.013,environ 0.0111,number 0.0093,order 0.0102,menu 0.0081,integr 0.0089,integr 0.0085,lead 0.0079,instal 0.0067,excel 0.0104,check 0.0076,dynam 0.009
Term 20,team 0.0075,edit 0.0118,publish 0.011,script 0.009,export 0.0092,window 0.0075,php 0.0088,trigger 0.0083,check 0.0078,packag 0.0064,store 0.01,consol 0.0072,render 0.0086
Term 21,size 0.0075,drop 0.0104,servic 0.0104,total 0.009,mode 0.0083,refresh 0.0074,web 0.0083,problem 0.0082,child 0.0077,platform 0.006,lookup 0.0094,wrong 0.0072,css 0.0084
Term 22,site 0.0072,default 0.0091,share 0.0101,base 0.0086,databas 0.0082,close 0.0074,work 0.0081,connect 0.0082,owner 0.0073,build 0.0058,string 0.0093,load 0.0072,event 0.0082
Term 23,import 0.007,suggest 0.0079,secur 0.0097,sql 0.0086,manual 0.0079,edit 0.0071,http 0.0079,set 0.0079,write 0.0068,point 0.0058,express 0.0093,throw 0.0071,chart 0.008
Term 24,local 0.0065,textbox 0.0077,log 0.0096,array 0.0082,insert 0.0078,browser 0.007,document 0.0077,im 0.0074,process 0.0065,start 0.0056,powerapp 0.0092,version 0.0068,display 0.0078
Term 25,sampl 0.0065,fill 0.0074,domain 0.0089,month 0.0081,problem 0.0077,event 0.0069,send 0.0072,ive 0.0074,relat 0.0065,local 0.0054,formula 0.0084,fine 0.0066,content 0.0077
Term 26,problem 0.0064,enter 0.0073,im 0.0086,time 0.008,import 0.0076,back 0.0069,applic 0.007,notif 0.0069,base 0.0061,setup 0.0052,work 0.0075,find 0.0064,show 0.0073
Term 27,fee 0.0059,style 0.007,set 0.0083,page 0.0077,automat 0.0074,hide 0.0063,creator 0.0065,step 0.0065,valid 0.0061,good 0.005,dropdown 0.0073,messag 0.0063,line 0.0071
Term 28,gener 0.0059,display 0.007,microsoft 0.0077,search 0.0072,im 0.007,screen 0.0063,custom 0.0065,request 0.0065,relationship 0.0055,step 0.005,field 0.0072,librari 0.0062,ifram 0.007
Term 29,link 0.0058,color 0.0066,preview 0.0076,string 0.0071,client 0.0065,print 0.0062,bodi 0.0063,smtp 0.006,number 0.0052,mysql 0.005,base 0.007,output 0.0062,resourc 0.0067
Term 30,locat 0.0058,save 0.0062,password 0.0073,load 0.0065,exist 0.0054,consol 0.006,lead 0.0063,task 0.0059,retriev 0.005,store 0.005,show 0.007,write 0.0062,implement 0.0066
