,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
Term 12,chang 0.0099,sheet 0.0158,account 0.017,log 0.0142,execut 0.0119,link 0.0187,configur 0.0149,make 0.0114,creat 0.0104,galleri 0.0179,time 0.0156,script 0.0171,im 0.015,version 0.0134
Term 13,text 0.0099,store 0.0157,type 0.0157,role 0.0138,issu 0.0118,submit 0.0162,cloud 0.0137,templat 0.0113,save 0.0101,valu 0.0178,calcul 0.0129,set 0.0165,paramet 0.0149,mobil 0.0124
Term 14,map 0.0099,microsoft 0.0152,insert 0.0136,case 0.0119,line 0.0116,tab 0.016,account 0.013,gener 0.011,show 0.0097,show 0.0175,result 0.0115,creat 0.0158,work 0.0144,event 0.0121
Term 15,tag 0.0098,import 0.0147,trigger 0.013,set 0.0118,problem 0.0105,action 0.0158,domain 0.0126,manag 0.0106,document 0.0093,filter 0.0168,im 0.0099,field 0.0158,method 0.0118,publish 0.0114
Term 16,emb 0.0097,sourc 0.014,delet 0.0116,owner 0.0109,method 0.0105,work 0.0131,problem 0.0099,work 0.0084,convert 0.0093,form 0.0138,month 0.0097,row 0.0151,return 0.0117,instal 0.0112
Term 17,style 0.0094,add 0.0139,write 0.0112,directori 0.0098,make 0.0103,custom 0.0106,setup 0.009,multipl 0.0078,display 0.009,display 0.0129,day 0.0097,select 0.0143,xml 0.0112,find 0.0108
Term 18,lwc 0.0088,export 0.0131,set 0.0106,id 0.0098,output 0.0098,view 0.0102,work 0.0079,order 0.0077,url 0.0089,work 0.0129,display 0.0097,display 0.014,integr 0.0109,preview 0.0106
Term 19,show 0.0087,powerapp 0.0127,child 0.0102,secur 0.0084,side 0.0098,activ 0.0095,notif 0.0079,answer 0.0077,widget 0.0079,set 0.0128,report 0.0089,load 0.0136,access 0.0104,instanc 0.0093
Term 20,display 0.0087,custom 0.0121,entiti 0.0101,token 0.0082,string 0.0092,chang 0.0095,fail 0.0079,time 0.0077,aura 0.0078,user 0.0127,join 0.0076,project 0.0135,php 0.0102,load 0.0088
Term 21,content 0.0087,collect 0.0114,parent 0.0101,post 0.0082,read 0.0091,field 0.0094,im 0.0077,base 0.0073,resourc 0.0078,label 0.0105,mysql 0.0075,show 0.013,token 0.0096,packag 0.0086
Term 22,css 0.0086,server 0.01,call 0.0099,assign 0.0076,expect 0.0089,popup 0.0081,smtp 0.0069,solut 0.0073,work 0.0076,search 0.01,base 0.007,bind 0.013,creat 0.0093,tool 0.0086
Term 23,chart 0.0086,servic 0.0093,add 0.0094,report 0.0076,fail 0.0085,checkbox 0.0078,java 0.0064,point 0.0072,download 0.0075,data 0.0094,show 0.0069,work 0.0118,pass 0.009,web 0.0078
Term 24,im 0.0083,product 0.0088,valu 0.0087,share 0.0075,time 0.0084,show 0.0077,gmail 0.0059,employe 0.0069,method 0.0074,input 0.0093,format 0.0069,event 0.0106,applic 0.0083,time 0.0077
Term 25,render 0.0079,updat 0.0075,lead 0.0081,organ 0.0071,wrong 0.0078,entri 0.0076,host 0.0059,compani 0.0069,team 0.0072,drop 0.0085,total 0.0069,updat 0.0099,header 0.0083,browser 0.0073
Term 26,input 0.0075,common 0.0074,dynam 0.0078,develop 0.007,messag 0.0078,navig 0.0076,support 0.0055,build 0.0069,static 0.0069,variabl 0.0084,work 0.0067,id 0.0092,lead 0.0074,org 0.0066
Term 27,problem 0.0074,spreadsheet 0.0072,array 0.0067,profil 0.007,fine 0.0078,list 0.0075,integr 0.0055,achiev 0.0068,view 0.0069,collect 0.0084,year 0.0063,client 0.009,custom 0.0071,manag 0.0065
Term 28,js 0.0073,ms 0.0068,assign 0.0063,enabl 0.0069,properti 0.0075,close 0.0074,extern 0.0054,edit 0.0064,pictur 0.0067,lookup 0.0078,key 0.0063,calcul 0.009,http 0.007,app 0.0065
Term 29,color 0.0071,entiti 0.0063,find 0.0061,add 0.0069,valid 0.0073,back 0.0073,instanc 0.0051,request 0.0062,lwc 0.0067,properti 0.0078,id 0.0059,key 0.008,web 0.0066,link 0.0062
Term 30,ifram 0.0069,chat 0.006,attribut 0.006,app 0.0065,undefin 0.0068,mode 0.0069,port 0.0046,process 0.0062,find 0.0065,formula 0.0076,start 0.0058,sourc 0.0075,retriev 0.0066,consol 0.006
