,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
Term 19,page 0.0087,valu 0.0092,line 0.0075,suggest 0.0093,creat 0.0093,permiss 0.0112,version 0.0073,client 0.0074,pass 0.01,function 0.01,popup 0.0079,relat 0.0081
Term 20,event 0.0077,formula 0.0092,appli 0.0068,dynam 0.0093,sourc 0.0085,role 0.0109,array 0.0064,mobil 0.0071,custom 0.0096,team 0.01,chang 0.0079,add 0.008
Term 21,resourc 0.0077,dropdown 0.0092,format 0.0068,form 0.0087,sort 0.0081,group 0.0107,wrong 0.0059,link 0.0071,messag 0.0096,store 0.0091,menu 0.0078,owner 0.0078
Term 22,function 0.0076,edit 0.009,point 0.0067,enter 0.0082,base 0.0079,configur 0.0103,line 0.0059,provid 0.007,lead 0.009,local 0.0088,add 0.0077,check 0.0071
Term 23,insid 0.0069,properti 0.0089,year 0.0065,textbox 0.0078,select 0.0078,environ 0.0093,output 0.0058,document 0.0068,http 0.0087,powerapp 0.0084,templat 0.0072,parent 0.007
Term 24,file 0.0068,lookup 0.0084,fix 0.0058,display 0.0073,id 0.0076,work 0.0092,write 0.0056,case 0.0068,bodi 0.0076,creat 0.0079,widget 0.0071,action 0.0068
Term 25,consol 0.0068,powerapp 0.0084,pictur 0.0052,id 0.007,display 0.007,creat 0.0086,librari 0.0056,support 0.0066,string 0.0074,csv 0.0073,detail 0.0071,assign 0.0068
Term 26,ifram 0.0067,function 0.0082,current 0.0052,checkbox 0.007,return 0.0069,servic 0.0084,find 0.0056,build 0.0063,receiv 0.0073,find 0.0069,browser 0.0069,multipl 0.0067
Term 27,run 0.0066,fill 0.008,height 0.0051,express 0.0068,widget 0.0061,applic 0.0083,method 0.0055,authent 0.0062,creator 0.0071,read 0.0065,window 0.0068,process 0.0064
Term 28,requir 0.0065,navig 0.0078,problem 0.0051,default 0.0067,script 0.0058,directori 0.008,event 0.0055,im 0.006,document 0.006,picker 0.0064,back 0.0064,child 0.0063
Term 29,show 0.0065,store 0.0078,work 0.0051,question 0.0062,search 0.0057,publish 0.0077,read 0.0054,platform 0.0059,format 0.0058,user 0.0064,icon 0.0064,event 0.0062
Term 30,fine 0.0064,text 0.0072,light 0.0049,function 0.0059,bind 0.0057,app 0.0069,make 0.0053,packag 0.0059,agent 0.0058,save 0.0063,screen 0.0061,relationship 0.0059
