,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15
Term 11,select 0.0164,approv 0.0178,configur 0.0132,column 0.0144,build 0.0088,ive 0.0151,key 0.011,widget 0.0231,creat 0.0181,error 0.0129,url 0.0122,js 0.0153,field 0.0167,token 0.0139,pdf 0.0151,entiti 0.016
Term 12,display 0.0149,updat 0.0164,im 0.0125,string 0.0137,point 0.0087,return 0.0143,link 0.0099,properti 0.0228,custom 0.0168,integr 0.0128,add 0.01,web 0.0143,page 0.0163,chatter 0.0134,picker 0.0136,insert 0.015
Term 13,valu 0.0132,add 0.0129,fail 0.0125,total 0.0125,lot 0.0084,work 0.0117,work 0.0082,valu 0.0186,instanc 0.0162,xml 0.0124,map 0.0097,javascript 0.0138,script 0.0154,develop 0.0125,excel 0.0109,parent 0.0118
Term 14,dropdown 0.0131,custom 0.0127,domain 0.0124,day 0.0122,complet 0.0084,execut 0.0116,base 0.008,bind 0.0173,microsoft 0.0148,method 0.0123,browser 0.0095,error 0.0108,bind 0.0146,share 0.0112,csv 0.0104,creat 0.0111
Term 15,properti 0.0125,view 0.0123,problem 0.0116,month 0.0121,implement 0.0081,method 0.0114,featur 0.0078,button 0.0141,powerapp 0.0128,return 0.0119,view 0.0092,function 0.0106,load 0.014,app 0.0112,convert 0.0101,queri 0.0101
Term 16,im 0.0124,mode 0.0122,set 0.0087,report 0.0117,line 0.0077,updat 0.0112,answer 0.0078,drop 0.0104,server 0.0121,pass 0.0112,emb 0.0089,tag 0.0094,select 0.013,secur 0.0112,download 0.0101,child 0.0095
Term 17,sourc 0.0118,activ 0.011,notif 0.0083,sql 0.01,problem 0.0077,calendar 0.0103,relat 0.0073,default 0.0103,store 0.0094,header 0.0098,menu 0.0087,attribut 0.0091,calcul 0.012,log 0.011,content 0.0093,relat 0.0094
Term 18,control 0.0116,popup 0.0108,fine 0.0082,base 0.0094,limit 0.0075,trigger 0.0101,specif 0.0073,textbox 0.0098,environ 0.009,php 0.0094,html 0.0085,resourc 0.0087,creat 0.0103,publish 0.0109,link 0.0093,trigger 0.0088
Term 19,multipl 0.0107,automat 0.009,check 0.008,format 0.009,find 0.0073,time 0.0086,document 0.0067,display 0.0093,common 0.0087,http 0.0089,content 0.0082,pass 0.0084,display 0.0098,api 0.0108,save 0.0087,owner 0.0087
Term 20,work 0.0105,fill 0.009,account 0.0073,formula 0.0087,run 0.0071,problem 0.0079,understand 0.0066,form 0.0093,sourc 0.0082,document 0.0084,navig 0.0082,im 0.0083,event 0.0089,creat 0.0107,team 0.0082,retriev 0.0086
Term 21,lookup 0.01,enter 0.0087,smtp 0.0072,join 0.0087,thing 0.0071,librari 0.0074,read 0.0064,style 0.0091,db 0.0077,lead 0.0082,widget 0.008,implement 0.0081,sourc 0.0088,domain 0.0098,spreadsheet 0.008,lead 0.0085
Term 22,field 0.0099,open 0.0082,setup 0.0071,null 0.0083,start 0.007,consol 0.0069,uniqu 0.0059,suggest 0.0087,dynam 0.0074,work 0.0082,applic 0.0077,static 0.0073,paramet 0.0078,servic 0.0096,store 0.0077,chang 0.0083
Term 23,powerapp 0.0098,chang 0.008,run 0.0071,year 0.0078,long 0.0062,thing 0.0067,build 0.0059,color 0.0085,applic 0.0072,web 0.0077,ifram 0.0074,develop 0.0071,sort 0.0078,set 0.0096,pictur 0.0076,attribut 0.0076
Term 24,show 0.0096,default 0.008,find 0.0066,error 0.0077,good 0.0061,read 0.0066,gener 0.0058,im 0.0079,mysql 0.0072,send 0.0075,consol 0.0074,file 0.0068,key 0.0062,commun 0.0091,problem 0.0075,lookup 0.0076
Term 25,excel 0.0095,select 0.008,gmail 0.0061,return 0.0075,instal 0.0059,properti 0.0064,find 0.0056,dynam 0.0078,support 0.0071,custom 0.0073,window 0.0071,render 0.0067,dropdown 0.0061,enabl 0.0085,local 0.0072,return 0.0075
Term 26,navig 0.0093,manual 0.0078,occur 0.0058,work 0.0073,support 0.0058,output 0.0063,includ 0.0056,checkbox 0.0077,canva 0.0066,string 0.0072,creat 0.007,call 0.0066,result 0.006,post 0.0083,error 0.007,assign 0.0074
Term 27,formula 0.0086,inform 0.0076,miss 0.0056,start 0.0072,step 0.0057,add 0.006,report 0.0056,check 0.0077,local 0.0063,applic 0.0072,fragment 0.0069,aura 0.0062,array 0.0058,preview 0.0079,im 0.007,relationship 0.0071
Term 28,store 0.0084,templat 0.007,ive 0.0055,student 0.0072,program 0.0057,app 0.0054,integr 0.0055,enter 0.0074,tabl 0.0062,call 0.0069,print 0.0069,creat 0.0061,id 0.0057,authent 0.0078,creat 0.0069,write 0.007
Term 29,result 0.0084,entri 0.007,valid 0.0053,valu 0.007,sourc 0.0057,line 0.0053,option 0.0054,icon 0.0072,step 0.0059,creator 0.0068,show 0.0065,insid 0.0061,return 0.0057,work 0.0077,size 0.0063,fetch 0.0063
Term 30,return 0.008,link 0.0069,solv 0.0052,select 0.0066,develop 0.0056,test 0.005,ticket 0.0054,set 0.0068,default 0.0055,servic 0.0061,bar 0.006,dynam 0.006,option 0.0056,case 0.0075,doc 0.0063,apex 0.0061
