Tag,Significance,Relevance
soapui,0.00023142791020597085,0.0002380952380952381
document,0.000390625,0.0002380952380952381
distinct,0.00046860356138706655,0.0004761904761904762
syncfusion,0.001122334455667789,0.0002380952380952381
azure-cosmosdb,0.0004241781548250265,0.0004761904761904762
marker,0.0006605019815059445,0.0002380952380952381
clip-path,0.002325581395348837,0.0002380952380952381
typescript,8.66378451435156e-06,0.0002380952380952381
oauth-2.0,0.0013227513227513227,0.0054761904761904765
openshift,0.0001591596371160274,0.0002380952380952381
nmbrs,0.14285714285714285,0.0002380952380952381
intune,0.0051813471502590676,0.0002380952380952381
internet-explorer,5.1812129219450276e-05,0.0004761904761904762
apex-data-loader,0.05,0.0002380952380952381
dataform,0.007407407407407408,0.0002380952380952381
onenote,0.0018248175182481751,0.0002380952380952381
azure-logic-apps,0.002612330198537095,0.0011904761904761906
formulas,0.0013123359580052493,0.0002380952380952381
apache-spark,1.671374371145393e-05,0.0002380952380952381
azure-storage-blobs,0.00048355899419729207,0.0004761904761904762
ssl,0.00016421131650558318,0.0016666666666666668
validation,6.709608158883521e-05,0.0009523809523809524
web-component,0.002785515320334262,0.0016666666666666668
xml-formatting,0.014084507042253521,0.0002380952380952381
testing,5.0667544904111675e-05,0.0004761904761904762
hadoop-plugins,0.007246376811594203,0.0002380952380952381
mailmerge,0.0018050541516245488,0.0002380952380952381
timeout,0.00035616763623412084,0.0007142857142857143
aggregate-functions,0.000243842965130456,0.0002380952380952381
shadow-dom,0.003872216844143272,0.0009523809523809524
curl,0.0008979031320973961,0.008095238095238095
auto-increment,0.00042087542087542086,0.0002380952380952381
serverside-javascript,0.002583979328165375,0.0002380952380952381
xampp,9.117432530999271e-05,0.0002380952380952381
dynamics-crm-365,0.00554016620498615,0.0004761904761904762
powerbi-desktop,0.0008431703204047217,0.0002380952380952381
reactive,0.0008896797153024911,0.0002380952380952381
encryption,3.1771247021445594e-05,0.0002380952380952381
http-headers,9.781864423359092e-05,0.0002380952380952381
inventory,0.0018148820326678765,0.0002380952380952381
web-applications,4.937296336526118e-05,0.0002380952380952381
syntax,0.00010777023386140747,0.0004761904761904762
controls,0.00012634238787113077,0.0002380952380952381
yii2-advanced-app,0.0009671179883945841,0.0004761904761904762
python-asyncio,0.00029231218941829873,0.0002380952380952381
code-coverage,0.00023110700254217703,0.0002380952380952381
powerapps-selected-items,3.3333333333333335,0.014285714285714285
currentitem,0.047619047619047616,0.0002380952380952381
json.net,0.0002681444404719342,0.0007142857142857143
animation,5.179602724471033e-05,0.0004761904761904762
force.com,0.037037037037037035,0.002857142857142857
same-origin-policy,0.00199203187250996,0.0004761904761904762
pentaho,0.0002942907592701589,0.0002380952380952381
azure-devops,0.00046274872744099955,0.0016666666666666668
multi-select,0.0005549389567147614,0.0002380952380952381
autofill,0.0017528483786152498,0.0004761904761904762
xamarin,2.3912003825920613e-05,0.0002380952380952381
heroku-api,0.010752688172043012,0.0002380952380952381
iphone,4.083688387351456e-05,0.002142857142857143
input,0.00014334862385321102,0.0009523809523809524
charts,8.944543828264758e-05,0.0004761904761904762
zoho,1.0,0.11214285714285714
cors,0.0003028467595396729,0.0007142857142857143
google-photos-api,0.006024096385542169,0.0002380952380952381
piwiktracker,0.08,0.0004761904761904762
security,7.974958629902108e-05,0.0009523809523809524
radio-group,0.002296211251435132,0.0004761904761904762
python-2.x,0.0003904724716907458,0.0002380952380952381
node-modules,0.0005390835579514825,0.0004761904761904762
url-mapping,0.002849002849002849,0.0002380952380952381
guzzle,0.0005178663904712584,0.0002380952380952381
slider,0.0001145475372279496,0.0002380952380952381
webpack,9.51052498097895e-05,0.0007142857142857143
gravity-forms-plugin,0.001128668171557562,0.0002380952380952381
express,3.0950170225936245e-05,0.0004761904761904762
circular-reference,0.0015723270440251573,0.0002380952380952381
sfdc,0.2535211267605634,0.004285714285714286
button,8.762705923589205e-05,0.0007142857142857143
azure-table-storage,0.0005151983513652757,0.0002380952380952381
math,5.5991041433370664e-05,0.0004761904761904762
gulp-plugin,0.047619047619047616,0.0002380952380952381
google-contacts-api,0.0009950248756218905,0.0002380952380952381
knowledge-management,0.022222222222222223,0.0004761904761904762
guzzle6,0.0031446540880503146,0.0002380952380952381
intranet,0.0017241379310344827,0.0002380952380952381
odata,0.00030707815138952864,0.0004761904761904762
authorize.net-cim,0.01098901098901099,0.0002380952380952381
crm,0.020393811533052038,0.01380952380952381
gitlab,0.00010492078480747036,0.0002380952380952381
powerapps,1.2861111111111112,0.22047619047619046
d3.js,0.00014024852037811,0.0011904761904761906
parsing,3.991617603033629e-05,0.0004761904761904762
gmail,0.0005585344057193923,0.0011904761904761906
httpurlconnection,0.0003254149040026033,0.0002380952380952381
connection,0.00011259993244004054,0.0002380952380952381
task,0.00028686173264486515,0.0004761904761904762
cloud,0.0004203446826397646,0.0007142857142857143
sdk,0.0006106404091290741,0.0019047619047619048
connect,0.0009132420091324201,0.0004761904761904762
gallery,0.00196078431372549,0.0016666666666666668
integration,0.00332667997338656,0.0035714285714285713
.net,4.376794906757435e-05,0.0030952380952380953
git,1.631494367265697e-05,0.0004761904761904762
java,2.8007815968388114e-05,0.01119047619047619
soql,0.035842293906810034,0.004761904761904762
aop,0.0003091190108191654,0.0002380952380952381
google-docs,0.0019290123456790122,0.0011904761904761906
lightning,1.3655172413793104,0.047142857142857146
assembla,0.007352941176470588,0.0002380952380952381
http-status-code-404,0.00017310022503029253,0.0002380952380952381
function,7.123606444489296e-05,0.0014285714285714286
multi-tenant,0.0004361098996947231,0.0002380952380952381
html,6.228489109185414e-05,0.014761904761904763
google-cloud-platform,0.000893016610108948,0.004761904761904762
postman,0.0020275162925416364,0.0033333333333333335
powerapps-formula,2.5851063829787235,0.05785714285714286
data-migration,0.0009225092250922509,0.0002380952380952381
google-app-engine,4.45751983596327e-05,0.0004761904761904762
google-sheets,0.00044701061650214194,0.002857142857142857
authorize.net,0.000877963125548727,0.0002380952380952381
hash,4.6924123691990054e-05,0.0002380952380952381
xslt,2.9202196005139588e-05,0.0002380952380952381
search,0.0002115826381332366,0.0016666666666666668
drupal-8,0.0003894080996884735,0.0002380952380952381
timestamp,0.0005617977528089888,0.0014285714285714286
flow,0.025280898876404494,0.004285714285714286
sqlite,1.20774405487989e-05,0.0002380952380952381
encoding,4.686474833630143e-05,0.0002380952380952381
pseudocode,0.0006082725060827251,0.0002380952380952381
getscript,0.0055248618784530384,0.0002380952380952381
html-to-pdf,0.002188183807439825,0.0002380952380952381
pivot,0.00012064181445288937,0.0002380952380952381
ajax,2.870607372676602e-05,0.0014285714285714286
sql-insert,0.000275178866263071,0.0002380952380952381
delegates,9.500285008550257e-05,0.0002380952380952381
debounce,0.0049504950495049506,0.0002380952380952381
google-analytics-api,0.00027917364600781687,0.0002380952380952381
permissionset,0.16666666666666666,0.0004761904761904762
custom-controls,0.00024906600249066,0.0002380952380952381
marketo,0.003952569169960474,0.0002380952380952381
opaleye,0.08333333333333333,0.0002380952380952381
exponentiation,0.006756756756756757,0.0004761904761904762
mobile-application,0.0032,0.0009523809523809524
field,0.0007568590350047304,0.0009523809523809524
salesforce-chatter,1.560747663551402,0.03976190476190476
cname,0.0012484394506866417,0.0002380952380952381
usergroups,0.0033783783783783786,0.0002380952380952381
integrate,0.002544529262086514,0.0002380952380952381
sorting,4.8143274384568475e-05,0.0007142857142857143
python-requests,0.00023048555623847572,0.0007142857142857143
sprite-kit,7.870916961826053e-05,0.0002380952380952381
twilio-twiml,0.002457002457002457,0.0002380952380952381
payment,0.00036656891495601173,0.0002380952380952381
wkwebview,0.00033112582781456954,0.0002380952380952381
html-email,0.00024254183846713557,0.0002380952380952381
dkim,0.0024752475247524753,0.0002380952380952381
xml,0.0001860032550569635,0.008571428571428572
utf-8,5.00175061271445e-05,0.0002380952380952381
sharepoint,0.004516851329961781,0.027857142857142858
sharepoint-2013,0.001474615546661049,0.0016666666666666668
full-text-search,0.0002838087129274869,0.0004761904761904762
page-break,0.002336448598130841,0.0002380952380952381
yammer,0.004155124653739612,0.0007142857142857143
apex-code,0.04576144036009002,0.014523809523809524
restriction,0.0016474464579901153,0.0002380952380952381
google-admin-sdk,0.0025884383088869713,0.0007142857142857143
google-cloud-automl,0.003676470588235294,0.0002380952380952381
google-groups-settings,0.030303030303030304,0.0002380952380952381
workflow,0.0010813148788927337,0.0011904761904761906
audio-recording,0.0005184033177812338,0.0002380952380952381
wrapper,0.0009478672985781991,0.0007142857142857143
hmac,0.0008764241893076249,0.0002380952380952381
restkit,0.00036832412523020257,0.0002380952380952381
nodemailer,0.006765899864682003,0.002380952380952381
datafield,0.01818181818181818,0.0002380952380952381
language-translation,0.0031847133757961785,0.0002380952380952381
ruby-on-rails-4,8.210630029010893e-05,0.0007142857142857143
analytics,0.0004827419744146754,0.0004761904761904762
fullcalendar-scheduler,0.0024691358024691358,0.0002380952380952381
ssis,0.00010904530832560929,0.0004761904761904762
apex,0.08244365361803084,0.033095238095238094
http-post,0.0001301405517959396,0.0002380952380952381
onenote-api,0.0033222591362126247,0.0002380952380952381
rocket.chat,0.00411522633744856,0.0002380952380952381
imap,0.001024327784891165,0.0009523809523809524
azure-functions,0.001430615164520744,0.002380952380952381
range,0.00024122542515981184,0.0004761904761904762
telnet,0.00043956043956043956,0.0002380952380952381
sql,0.00011567358749697045,0.015
appsource,0.044444444444444446,0.0004761904761904762
xmlhttprequest,9.51746454744456e-05,0.0002380952380952381
windows-server-2008-r2,0.0005561735261401557,0.0002380952380952381
directory,0.00012051822838204278,0.0004761904761904762
credit-card,0.0009124087591240876,0.0002380952380952381
font-size,0.0004422821760283061,0.0002380952380952381
actionmailer,0.0017683465959328027,0.0009523809523809524
content-security-policy,0.0029006526468455403,0.0009523809523809524
jdbc,0.00017003332653200027,0.0011904761904761906
outer-join,0.0006830601092896175,0.0002380952380952381
phpmailer,0.0008403361344537816,0.0009523809523809524
social-networking,0.00047393364928909954,0.0002380952380952381
currency,0.0003898635477582846,0.0002380952380952381
mule-studio,0.0018832391713747645,0.0007142857142857143
hlist,0.007518796992481203,0.0002380952380952381
vml,0.003937007874015748,0.0002380952380952381
relation,0.0008143322475570033,0.0002380952380952381
salesforce-lightning,1.3356521739130436,0.18285714285714286
github,5.210232897410514e-05,0.0004761904761904762
libraries,0.0003604902667627974,0.0002380952380952381
forms,0.00014779490009064755,0.0035714285714285713
database-connection,0.0004743833017077799,0.0007142857142857143
tsql,3.1919817418644366e-05,0.0004761904761904762
contacts,0.0016220600162206002,0.0009523809523809524
javamail,0.0008565310492505353,0.0009523809523809524
options,0.0005707762557077625,0.0002380952380952381
js-xlsx,0.008620689655172414,0.0002380952380952381
uiimageview,9.597850081581725e-05,0.0002380952380952381
string,1.3084723585214262e-05,0.0004761904761904762
fuzzy-comparison,0.0035460992907801418,0.0002380952380952381
spam-prevention,0.0012787723785166241,0.0002380952380952381
flask,2.7101739931703616e-05,0.0002380952380952381
activerecord,7.351860020585208e-05,0.0004761904761904762
facebook-messenger,0.0016597510373443983,0.0004761904761904762
deep-linking,0.00043591979075850045,0.0002380952380952381
nosql,9.116601331023795e-05,0.0002380952380952381
content-management-system,0.000146864444118079,0.0002380952380952381
dns,0.00039954717986282216,0.0014285714285714286
botframework,0.0002844950213371266,0.0004761904761904762
extjs,4.173100196135709e-05,0.0002380952380952381
grails-plugin,0.0006743088334457181,0.0002380952380952381
single-sign-on,0.0006639004149377593,0.0009523809523809524
chatbot,0.0007204610951008645,0.0004761904761904762
duplicates,0.00026455026455026457,0.0007142857142857143
domain-name,0.0021321961620469083,0.0002380952380952381
microsoft-graph-calendar,0.005555555555555556,0.0002380952380952381
xcode,2.109704641350211e-05,0.0007142857142857143
delegation,0.0014641288433382138,0.0002380952380952381
spring-mvc,3.7233547426231035e-05,0.0004761904761904762
redux,4.0338846308995566e-05,0.0002380952380952381
linkedin,0.00024313153415998054,0.0002380952380952381
squarespace,0.0031446540880503146,0.0004761904761904762
amazon-sns,0.001004016064257028,0.0004761904761904762
header,8.377314233056883e-05,0.0002380952380952381
ruby-on-rails,3.1462074042845055e-05,0.002380952380952381
webresource,0.010416666666666666,0.0002380952380952381
point-in-polygon,0.004484304932735426,0.0002380952380952381
forall,0.021505376344086023,0.0004761904761904762
deluge,0.5217391304347826,0.002857142857142857
phonegap-cli,0.004098360655737705,0.0002380952380952381
custom-events,0.005376344086021506,0.0002380952380952381
visual-studio,1.044768322624458e-05,0.0002380952380952381
audiounit,0.001443001443001443,0.0002380952380952381
web-based,0.012658227848101266,0.0002380952380952381
batterylevel,0.0041841004184100415,0.0002380952380952381
yii2,0.00035350678733031673,0.0011904761904761906
user-interface,0.00010255989497866754,0.0011904761904761906
authentication,0.00017609509134932863,0.0019047619047619048
light,0.0036968576709796672,0.0004761904761904762
fullcalendar-3,0.004166666666666667,0.0002380952380952381
cloudflare,0.0005530973451327434,0.0002380952380952381
oauth,0.0005590027391134217,0.002380952380952381
checkbox,7.450454477723141e-05,0.0004761904761904762
microsoft-teams,0.0029120559114735,0.0011904761904761906
google-picker,0.004166666666666667,0.0002380952380952381
swashbuckle,0.0010695187165775401,0.0002380952380952381
decorator,0.0005194805194805195,0.0004761904761904762
appscript,0.010526315789473684,0.0002380952380952381
biginteger,0.0005817335660267597,0.0002380952380952381
visualization,0.00024242424242424242,0.0002380952380952381
twitter-bootstrap,1.0175010175010176e-05,0.0002380952380952381
ms-access,4.320867630220148e-05,0.0004761904761904762
entity,0.00017415534656913968,0.0002380952380952381
mulesoft,0.002109704641350211,0.0002380952380952381
google-cloud-storage,0.00013795006207752792,0.0002380952380952381
projects,0.0029498525073746312,0.0002380952380952381
updates,0.00030175015087507544,0.0002380952380952381
sms,0.00014114326040931546,0.0002380952380952381
ruby,3.279763857002296e-05,0.0016666666666666668
salesforce-communities,1.7692307692307692,0.060238095238095236
vinyl,1.0,0.0054761904761904765
azure-active-directory,0.0017620232172470978,0.004047619047619047
beacon,0.0013386880856760374,0.0002380952380952381
backend,0.0002464268112370626,0.0002380952380952381
salesforce-cli,0.5,0.0004761904761904762
icalendar,0.0014177693761814746,0.0007142857142857143
sfdc-metadata-api,0.2727272727272727,0.0007142857142857143
userscripts,0.0009433962264150943,0.0002380952380952381
oscommerce,0.002849002849002849,0.0002380952380952381
redmine,0.0005396654074473826,0.0002380952380952381
firebird,0.0006297229219143577,0.0004761904761904762
expression,0.0001528117359413203,0.0002380952380952381
adaptive-cards,0.0022675736961451248,0.0002380952380952381
geolocation,0.000181801654395055,0.0004761904761904762
windows,2.8367386016297064e-05,0.0009523809523809524
google-authentication,0.0006443298969072165,0.0002380952380952381
permissions,6.692992436918547e-05,0.0002380952380952381
ftps,0.002109704641350211,0.0002380952380952381
hierarchy,0.0004108463434675431,0.0002380952380952381
upsert,0.0011737089201877935,0.0002380952380952381
google-drive-api,0.0013971358714634998,0.0038095238095238095
firebase,5.468365505550391e-05,0.0011904761904761906
saas,0.0010460251046025104,0.0002380952380952381
workflow-foundation-4,0.0006067961165048543,0.0002380952380952381
schema,0.0001603077909586406,0.0002380952380952381
bots,0.00018800526414739614,0.0002380952380952381
web-services,0.00020108586366378444,0.002857142857142857
slimdx,0.0035460992907801418,0.0002380952380952381
fedex,0.0024449877750611247,0.0002380952380952381
combobox,0.0003009872381411028,0.0011904761904761906
automation,0.00023813776269571946,0.0009523809523809524
get,0.00013757050488375291,0.0004761904761904762
ivr,0.0031847133757961785,0.0002380952380952381
eddystone,0.003355704697986577,0.0002380952380952381
many-to-many,0.0001369487811558477,0.0002380952380952381
azure-repos,0.008928571428571428,0.0002380952380952381
google-cloud-functions,0.00010330578512396694,0.0002380952380952381
maven-3,0.00020999580008399833,0.0002380952380952381
calculated-columns,0.0006273525721455458,0.0002380952380952381
logout,0.000508646998982706,0.0002380952380952381
undefined,0.00018412815319462345,0.0002380952380952381
restkit-0.20,0.0013568521031207597,0.0002380952380952381
viewbox,0.003205128205128205,0.0002380952380952381
google-play,0.00010585371017254155,0.0002380952380952381
export,0.0003811944091486658,0.0007142857142857143
powerbi,0.002136483599346487,0.004047619047619047
sharepoint-workflow,0.0017035775127768314,0.0002380952380952381
selected,0.0011682242990654205,0.0002380952380952381
highcharts,8.997660608241857e-05,0.0004761904761904762
id,0.0026109660574412533,0.0004761904761904762
type-level-computation,0.003787878787878788,0.0002380952380952381
vue.js,6.94661526171373e-05,0.0009523809523809524
newforms,0.05555555555555555,0.0002380952380952381
backbone.js,4.842380514260811e-05,0.0002380952380952381
continuous-integration,0.0001889287738522577,0.0004761904761904762
ios7.1,0.0017094017094017094,0.0002380952380952381
carousel,0.0004021717273275689,0.0004761904761904762
twilio-programmable-chat,0.004149377593360996,0.0002380952380952381
asp.net-mvc,1.5846604864907693e-05,0.0007142857142857143
jhipster,0.0002457606291472106,0.0002380952380952381
server,0.0002559770644550248,0.0011904761904761906
gql,0.0022727272727272726,0.0002380952380952381
xna,0.00013717421124828533,0.0002380952380952381
triggers,0.0005669291338582678,0.002142857142857143
listbox,9.051412020275162e-05,0.0002380952380952381
rendering,0.00018301610541727673,0.0002380952380952381
for-loop,3.886060700268138e-05,0.0004761904761904762
case-statement,0.002544529262086514,0.0002380952380952381
middleware,0.0003484320557491289,0.0002380952380952381
ibeacon,0.0004697040864255519,0.0002380952380952381
vb.net,5.3869359108539064e-05,0.0016666666666666668
mendix,1.0,0.008809523809523809
flask-mail,0.011627906976744186,0.0004761904761904762
error-messaging,0.012195121951219513,0.0002380952380952381
loops,2.7641489876304332e-05,0.0004761904761904762
default-value,0.0005820721769499418,0.0002380952380952381
comments,0.00017605633802816902,0.0002380952380952381
cds,0.05,0.0009523809523809524
hex,0.00012202562538133008,0.0002380952380952381
objective-c,1.7242390071142103e-05,0.0011904761904761906
apigee,0.0014184397163120568,0.0002380952380952381
codeigniter,0.00010510668328353279,0.0016666666666666668
blank-line,0.005291005291005291,0.0002380952380952381
diagram,0.0006451612903225806,0.0002380952380952381
asp.net-web-api2,0.00013319126265316994,0.0002380952380952381
outsystems,1.0,0.03642857142857143
dynamics-365,0.0068775790921595595,0.0011904761904761906
swagger-2.0,0.0007122507122507123,0.0002380952380952381
http-get,0.0007052186177715092,0.0002380952380952381
gatsby,0.00031436655139893113,0.0002380952380952381
layout,4.0956749672346e-05,0.0002380952380952381
parameter-passing,0.0001487652484379649,0.0002380952380952381
javascript-events,9.273856997125104e-05,0.0002380952380952381
android,1.8791988348967223e-05,0.005714285714285714
load-testing,0.0003748125937031484,0.0002380952380952381
jquery-ui-tooltip,0.0038022813688212928,0.0002380952380952381
google-directory-api,0.005633802816901409,0.0004761904761904762
installation,7.654623392529088e-05,0.0002380952380952381
google-data-studio,0.0016906170752324597,0.0004761904761904762
google-maps,0.00011151824119802454,0.0016666666666666668
xml-parsing,0.00016025641025641026,0.0004761904761904762
data-binding,0.0001396583026860947,0.0007142857142857143
hangout,0.0029585798816568047,0.0002380952380952381
informatica,0.000778816199376947,0.0002380952380952381
webpage,0.0003669724770642202,0.0002380952380952381
salesforce-ios-sdk,0.11538461538461539,0.0014285714285714286
jdeveloper,0.0007320644216691069,0.0002380952380952381
barcode-scanner,0.00048123195380173246,0.0002380952380952381
power-automate,0.10599078341013825,0.010952380952380953
google-places-api,0.00021687269572760788,0.0002380952380952381
forge,0.0023094688221709007,0.0002380952380952381
postgresql,9.326855408304293e-05,0.002619047619047619
momentjs,0.0001591596371160274,0.0002380952380952381
heroku-postgres,0.0014285714285714286,0.0002380952380952381
sendmail.exe,0.012987012987012988,0.0002380952380952381
refresh-token,0.004291845493562232,0.0004761904761904762
algorithm,2.0028640956567893e-05,0.0004761904761904762
concatenation,0.0001436162573603332,0.0002380952380952381
eval,0.0002380952380952381,0.0002380952380952381
dialogflow,0.00021326508850501172,0.0002380952380952381
create-function,0.011363636363636364,0.0002380952380952381
type-mismatch,0.0015503875968992248,0.0002380952380952381
python-3.x,2.591904617910061e-05,0.0014285714285714286
key-value,0.0004380201489268506,0.0002380952380952381
sitecore-xdb,0.02631578947368421,0.0002380952380952381
ckeditor,0.0004707543839002001,0.0009523809523809524
regex,2.6435677590476106e-05,0.0014285714285714286
relationship,0.00022588660492432798,0.0002380952380952381
vis.js,0.00141643059490085,0.0002380952380952381
web-scraping,3.411688444611238e-05,0.0002380952380952381
data-extraction,0.0016666666666666668,0.0002380952380952381
serialization,6.975446428571428e-05,0.0004761904761904762
google-calendar-api,0.0008971828458639871,0.0011904761904761906
email,0.0006981000358483803,0.008809523809523809
spark-streaming,0.00020491803278688525,0.0002380952380952381
email-integration,0.001813236627379873,0.0004761904761904762
httpresponse,0.00031017369727047146,0.0002380952380952381
microsoft-dynamics,0.006658343736995423,0.0038095238095238095
audit-trail,0.003787878787878788,0.0002380952380952381
archive,0.00047551117451260106,0.0002380952380952381
custom-function,0.0031645569620253164,0.0002380952380952381
cascading,0.002881844380403458,0.0002380952380952381
azure-connect,0.017543859649122806,0.0002380952380952381
unity3d,3.9270356771191266e-05,0.0004761904761904762
acronym,0.012048192771084338,0.0002380952380952381
external-accessory,0.00425531914893617,0.0002380952380952381
kendo-ui,6.298815822625347e-05,0.0002380952380952381
thunderbird,0.022988505747126436,0.002857142857142857
jive,0.018867924528301886,0.0002380952380952381
post,0.0002238388360380526,0.0019047619047619048
azure-sql-database,0.0007190106413574921,0.0011904761904761906
getter-setter,0.0005564830272676684,0.0002380952380952381
gmail-api,0.0015718327569946558,0.0011904761904761906
heroku,8.526603001364257e-05,0.0007142857142857143
click,0.00011853959222380275,0.0002380952380952381
promise,0.00011431837667905116,0.0004761904761904762
ecmascript-6,8.093889113719143e-05,0.0004761904761904762
subform,0.006211180124223602,0.0004761904761904762
jmeter-plugins,0.0008396305625524769,0.0002380952380952381
modalpopup,0.0078125,0.0002380952380952381
twilio,0.0009651178822556183,0.0016666666666666668
ant,6.653802648213454e-05,0.0002380952380952381
hipaa,0.010309278350515464,0.0002380952380952381
roadmap,0.029411764705882353,0.0002380952380952381
converters,0.0011976047904191617,0.0002380952380952381
spf,0.004464285714285714,0.0004761904761904762
columnsorting,0.0033783783783783786,0.0002380952380952381
o365-flow,0.043478260869565216,0.0002380952380952381
static,0.00013770311209033325,0.0004761904761904762
chromecast,0.0005120327700972862,0.0002380952380952381
webservice-client,0.0009099181073703367,0.0002380952380952381
selenium-chromedriver,0.00035423308537017357,0.0007142857142857143
visual-studio-code,0.00016867673104495234,0.0009523809523809524
http,8.66190839165685e-05,0.0011904761904761906
modal-dialog,0.00019428793471925395,0.0004761904761904762
svg,0.00019846332681239546,0.0016666666666666668
formula,0.0006597756762700682,0.0007142857142857143
bonita,0.007246376811594203,0.0002380952380952381
printing,9.900990099009902e-05,0.0004761904761904762
dynamics-crm-365-v9,0.018518518518518517,0.0002380952380952381
object,9.792401096748923e-05,0.0011904761904761906
project-online,0.022222222222222223,0.0002380952380952381
onedrive,0.0017467248908296944,0.0009523809523809524
nlp,7.342143906020558e-05,0.0002380952380952381
custom-action,0.0010319917440660474,0.0002380952380952381
webdriver,9.563886763580719e-05,0.0002380952380952381
kettle,0.0007818608287724785,0.0002380952380952381
patch,0.0013297872340425532,0.0007142857142857143
sitecore,0.00015941335883947074,0.0002380952380952381
flot,0.00048262548262548264,0.0002380952380952381
ios13,0.00045934772622875517,0.0002380952380952381
dax,0.0002584647195657793,0.0002380952380952381
bing-maps,0.0007942811755361397,0.0004761904761904762
msmtp,0.027777777777777776,0.0002380952380952381
vinyl-ftp,0.05263157894736842,0.0002380952380952381
line,0.00019175455417066154,0.0002380952380952381
google-drive-team-drive,0.03048780487804878,0.0011904761904761906
admin,0.0009930486593843098,0.0009523809523809524
cross-domain,0.0001703867779860283,0.0002380952380952381
php-curl,0.00351288056206089,0.0007142857142857143
lwc,1.5694444444444444,0.026904761904761904
visualforce,0.050387596899224806,0.015476190476190477
aws-lambda,0.00012181751735899622,0.0004761904761904762
octobercms,0.000744047619047619,0.0002380952380952381
jenkins,2.454951637452742e-05,0.0002380952380952381
asp.net,3.370436218707606e-05,0.002857142857142857
cdata,0.000975609756097561,0.0002380952380952381
merge,5.193456245131135e-05,0.0002380952380952381
hierarchical-data,0.0006038647342995169,0.0002380952380952381
powerapps-canvas,2.5375,0.04833333333333333
email-templates,0.0056022408963585435,0.0004761904761904762
openapi,0.0006993006993006993,0.0002380952380952381
paypal,5.288207297726071e-05,0.0002380952380952381
excel-tables,0.007575757575757576,0.0002380952380952381
runtime-error,0.00013245033112582781,0.0002380952380952381
rich-text-editor,0.0011507479861910242,0.0002380952380952381
phonegap-plugins,0.00023430178069353328,0.0002380952380952381
rxjs,7.103786318107552e-05,0.0002380952380952381
messagebird,0.1111111111111111,0.0002380952380952381
apex-trigger,0.125,0.0009523809523809524
fullcalendar,0.0010001250156269534,0.0019047619047619048
azure-maps,0.007518796992481203,0.0002380952380952381
